ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ECH,204147047,2924-03104399-3A696054,2026-06-26T03:49:38.000Z,Change in substantial holding from ECH,685KB,false,CUE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""ECH""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""ECH"", """"]"
ECH,204147047,2924-03104396_PS-3A696050,2026-06-26T03:44:23.000Z,ECHELON RECEIVES SETTLEMENT PROCEEDS FROM CUE SHARE SALE,178KB,true,ECH,,"[""Progress Report""]","[{""symbolDisplay"": ""ECH""}]","[{""symbol"": ""ECH"", ""xid"": ""617023606"", ""ASXSecurityType"": 1, ""displayName"": ""ECHELON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZNZOE0010S7"", ""xidEntity"": 204147047}]","[""ECH"", """"]"
ECH,204147047,2924-03104390-2A1679772,2026-06-26T03:24:18.000Z,Completion of Pre-Bid Agreement,204KB,true,HZN,,"[""Takeover - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""HZN"", ""ECH"", ""CUE"", """"]"
ECH,204147047,2924-03103236-3A695855,2026-06-23T23:04:28.000Z,Echelon Signs Gas Supply Agreement for Kupe,193KB,true,ECH,,"[""Progress Report""]","[{""symbolDisplay"": ""ECH""}]","[{""symbol"": ""ECH"", ""xid"": ""617023606"", ""ASXSecurityType"": 1, ""displayName"": ""ECHELON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZNZOE0010S7"", ""xidEntity"": 204147047}]","[""ECH"", """"]"
ECH,204147047,2924-03083855-3A692203,2026-04-29T02:33:13.000Z,Quarterly Activities Report,413KB,true,ECH,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""ECH""}]","[{""symbol"": ""ECH"", ""xid"": ""617023606"", ""ASXSecurityType"": 1, ""displayName"": ""ECHELON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZNZOE0010S7"", ""xidEntity"": 204147047}]","[""ECH"", """"]"
ECH,204147047,2924-03078868-3A691353,2026-04-14T22:46:49.000Z,Participation in Horizon's Takeover Offer for Cue Energy,168KB,false,ECH,,"[""Takeover - Other"", ""Asset Disposal""]","[{""symbolDisplay"": ""ECH""}]","[{""symbol"": ""ECH"", ""xid"": ""617023606"", ""ASXSecurityType"": 1, ""displayName"": ""ECHELON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZNZOE0010S7"", ""xidEntity"": 204147047}]","[""ECH"", """"]"
ECH,204147047,2924-03078231_PS-2A1666231,2026-04-13T07:30:30.000Z,TOV: CUE - Panel Declines to Conduct Proceedings,206KB,true,HZN,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""HZN"", ""ECH"", ""CUE"", """"]"
ECH,204147047,2924-03078045-3A691200,2026-04-12T23:56:42.000Z,New Gas Sales Agreement Supports Two New Palm Valley Wells,239KB,true,CUE,,"[""Progress Report""]","[{""symbolDisplay"": ""CUE""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CTP""}]","[{""symbol"": ""CUE"", ""xid"": ""83477"", ""ASXSecurityType"": 1, ""displayName"": ""CUE ENERGY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CUE9"", ""xidEntity"": 204240689, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CUE"", ""ECH"", ""HZN"", ""CTP"", """"]"
ECH,204147047,2924-03078028-6A1320186,2026-04-12T23:44:47.000Z,New Gas Sale Agreement underwrites two new Palm Valley wells,316KB,true,CTP,,"[""Progress Report""]","[{""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""CTP"", ""xid"": ""3494642"", ""ASXSecurityType"": 1, ""displayName"": ""CENTRAL PETROLEUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CTP7"", ""xidEntity"": 204235446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""CTP"", ""ECH"", ""HZN"", ""CUE"", """"]"
ECH,204147047,2924-03078016-2A1666102,2026-04-12T23:35:47.000Z,Mereenie Expiry of PWC LOI and Update on Gas Market Strategy,165KB,true,HZN,,"[""Progress Report""]","[{""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""HZN"", ""xid"": ""151244"", ""ASXSecurityType"": 1, ""displayName"": ""HORIZON OIL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HZN8"", ""xidEntity"": 204290146, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""HZN"", ""ECH"", ""CTP"", ""CUE"", """"]"
ECH,204147047,2924-03078002-3A691185,2026-04-12T23:24:56.000Z,Echelon Signs Gas Supply Agreement Unlocking NT Growth,237KB,true,ECH,,"[""Progress Report""]","[{""symbolDisplay"": ""ECH""}, {""symbolDisplay"": ""HZN""}, {""symbolDisplay"": ""CTP""}, {""symbolDisplay"": ""CUE""}]","[{""symbol"": ""ECH"", ""xid"": ""617023606"", ""ASXSecurityType"": 1, ""displayName"": ""ECHELON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZNZOE0010S7"", ""xidEntity"": 204147047}]","[""ECH"", ""HZN"", ""CTP"", ""CUE"", """"]"
