ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ECL,199002958,2924-03102618-2A1678546,2026-06-22T07:38:06.000Z,Change in substantial holding from LCE,88KB,false,ECL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ECL""}, {""symbolDisplay"": ""LCE""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", ""LCE"", """"]"
ECL,199002958,2924-03099797-2A1677220,2026-06-12T05:49:12.000Z,Net Tangible Asset Backing - 31 May 2026,186KB,false,ECL,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
ECL,199002958,2924-03090148-2A1672098,2026-05-14T04:27:29.000Z,Net Tangible Asset Backing - 30 April 2026,180KB,false,ECL,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
ECL,199002958,2924-03078230-2A1666237,2026-04-13T07:29:15.000Z,Net Tangible Asset Backing - 31 March 2026,177KB,false,ECL,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
ECL,199002958,2924-03073098-2A1662907,2026-03-27T06:28:20.000Z,Dividend/Distribution - ECL,13KB,false,ECL,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
ECL,199002958,2924-03073096-2A1662906,2026-03-27T06:27:50.000Z,Special Dividend & Non-Executive Director Change,511KB,true,ECL,,"[""Dividend - Special"", ""Initial Director's Interest Notice"", ""Final Director's Interest Notice"", ""Capital Reconstruction"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Director Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
ECL,199002958,2924-03068236-2A1660319,2026-03-13T07:00:50.000Z,Net Tangible Asset Backing - 28 February 2026,178KB,false,ECL,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
ECL,199002958,2924-03067200-2A1659745,2026-03-11T07:12:57.000Z,Change in substantial holding,150KB,false,ECL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
ECL,199002958,2924-03065120-2A1658369,2026-03-05T06:25:31.000Z,Becoming a substantial holder,185KB,false,ECL,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
ECL,199002958,2924-03063995-2A1657563,2026-03-03T02:02:56.000Z,Update - Dividend/Distribution - ECL,13KB,false,ECL,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""ECL""}]","[{""symbol"": ""ECL"", ""xid"": ""77578"", ""ASXSecurityType"": 1, ""displayName"": ""EXCELSIOR CAPITAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000037889"", ""xidEntity"": 199002958}]","[""ECL"", """"]"
