ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
EGA,951406446,2924-03097806-2A1676131,2026-06-05T06:11:15.000Z,Share Trading Policy,339KB,false,EGA,,"[""Trading Policy""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03097119-2A1675543,2026-06-03T23:00:14.000Z,Notification - Investor Webinar,446KB,false,EGA,,"[""Web Cast""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03094673-2A1674251,2026-05-28T00:56:32.000Z,Investor Presentation,2309KB,false,EGA,,"[""Company Presentation""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03093745-2A1673815,2026-05-26T01:26:29.000Z,Drilling to commence at Venus Project,503KB,false,EGA,,"[""Progress Report""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03085242-2A1669318,2026-04-30T08:48:34.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,12058KB,true,EGA,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03076583-2A1665053,2026-04-08T04:21:45.000Z,Response to ASX Query Letter,5889KB,true,EGA,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03068938-2A1660694,2026-03-16T07:52:17.000Z,Half Year Financial Report for the period to 31 Dec 2025,1553KB,false,EGA,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03068614-2A1660523,2026-03-15T22:38:18.000Z,Investor Presentation - Unlocking New East Coast Gas Supply,1763KB,false,EGA,,"[""Company Presentation""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03067922-2A1660052,2026-03-12T23:27:47.000Z,Appointment of Company Secretary,195KB,false,EGA,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
EGA,951406446,2924-03066445-2A1659311,2026-03-09T23:52:45.000Z,Multi-well appraisal campaign at Venus CSG Project,415KB,false,EGA,,"[""Progress Report""]","[{""symbolDisplay"": ""EGA""}]","[{""symbol"": ""EGA"", ""xid"": ""1037429159"", ""ASXSecurityType"": 1, ""displayName"": ""EASTERN GAS CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000446429"", ""xidEntity"": 951406446, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""EGA"", """"]"
