ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
EHL,204208810,2924-03105776-6A1331674,2026-06-30T07:58:36.000Z,Vesting of Performance Rights,147KB,false,EHL,,"[""Issued Capital - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03105773-6A1331671,2026-06-30T07:56:51.000Z,Notification of cessation of securities - EHL,12KB,false,EHL,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03103026-6A1330627,2026-06-23T07:12:30.000Z,Becoming a substantial holder,686KB,false,EHL,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03101314-6A1329896,2026-06-17T22:18:03.000Z,Investor presentation - Macquarie conference,3207KB,false,EHL,,"[""Company Presentation""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03101312-6A1329895,2026-06-17T22:17:43.000Z,Trading Update - FY26 results expectations and FY27 outlook,180KB,true,EHL,,"[""Profit Guidance"", ""Trading Update"", ""Progress Report""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03091172-6A1325937,2026-05-18T06:42:20.000Z,Initial Director's Interest Notice,243KB,false,EHL,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03086982-6A1324248,2026-05-05T22:22:46.000Z,Emeco appoints Independent Non-Executive Director,148KB,false,EHL,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03077707-6A1320048,2026-04-10T06:35:43.000Z,Notification of cessation of securities - EHL,12KB,false,EHL,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03077702-6A1320046,2026-04-10T06:31:28.000Z,Notification regarding unquoted securities - EHL,14KB,false,EHL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03069467-6A1316855,2026-03-17T21:20:11.000Z,Investor Presentation - Euroz Conference,3197KB,false,EHL,,"[""Company Presentation""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03058113-6A1312714,2026-02-18T21:06:26.000Z,Emeco maintains positive momentum - now poised for growth,232KB,false,EHL,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
EHL,204208810,2924-03058112-6A1312713,2026-02-18T21:06:06.000Z,1H26 results presentation,5012KB,true,EHL,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""EHL""}]","[{""symbol"": ""EHL"", ""xid"": ""5162749"", ""ASXSecurityType"": 1, ""displayName"": ""EMECO HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EHL7"", ""xidEntity"": 204208810}]","[""EHL"", """"]"
