ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
EM3,204276618,2924-03104528-6A1331217,2026-06-26T06:45:43.000Z,Cleansing Notice,252KB,false,EM3,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03104517-6A1331214,2026-06-26T06:40:23.000Z,Application for quotation of securities - EM3,15KB,false,EM3,,"[""Appendix 2A""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03097276-6A1328326,2026-06-04T02:25:00.000Z,Change of Director's Interest Notice - Paul Cronin,354KB,false,EM3,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03096759-6A1328145,2026-06-03T01:06:11.000Z,Change of Director's Interest Notice - Paul Cronin,354KB,false,EM3,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03094641-6A1327320,2026-05-28T00:04:22.000Z,Cleansing Notice,252KB,false,EM3,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03094638-6A1327319,2026-05-28T00:03:12.000Z,Application for quotation of securities - EM3,15KB,false,EM3,,"[""Appendix 2A""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03084050-6A1322833,2026-04-29T07:25:30.000Z,Quarterly Activities Report & Cashflow,541KB,true,EM3,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03079965-6A1320912,2026-04-17T03:47:33.000Z,Cleansing Notice,258KB,false,EM3,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03079964-6A1320911,2026-04-17T03:44:58.000Z,Application for quotation of securities - EM3,15KB,false,EM3,,"[""Appendix 2A""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
EM3,204276618,2924-03074629-6A1318981,2026-03-31T22:52:08.000Z,Salave Gold Project Court Ruling,213KB,true,EM3,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""EM3""}]","[{""symbol"": ""EM3"", ""xid"": ""486817677"", ""ASXSecurityType"": 1, ""displayName"": ""EMC GOLD CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000445173"", ""xidEntity"": 204276618}]","[""EM3"", """"]"
