ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
EMC,204257036,2924-03103545-6A1330851,2026-06-24T08:10:49.000Z,Notification regarding unquoted securities - EMC,16KB,false,EMC,,"[""Appendix 3G""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03103106-6A1330678,2026-06-23T22:21:43.000Z,High-Grade Drilling Results at Mt Dimer Taipan Gold Project,1159KB,true,EMC,,"[""Progress Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03101666-6A1330048,2026-06-18T07:46:42.000Z,Notification regarding unquoted securities - EMC,16KB,false,EMC,,"[""Appendix 3G""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03101660-6A1330044,2026-06-18T07:36:57.000Z,Issue of Performance Rights,439KB,false,EMC,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03091712-6A1326167,2026-05-19T22:20:06.000Z,"MRE Upgrade Underpins Mining Proposal, Mt Edon Rb Project",4269KB,true,EMC,,"[""Progress Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03089853-6A1325386,2026-05-13T22:16:27.000Z,"Maiden MRE Defines Near-Surface Gold System at Revere, WA",5101KB,true,EMC,,"[""Progress Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03083413-6A1322498,2026-04-28T22:12:31.000Z,Quarterly Cashflow Report - March 2026,179KB,true,EMC,,"[""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03083412-6A1322497,2026-04-28T22:12:16.000Z,Quarterly Activities Report - March 2026,1377KB,true,EMC,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03074408-6A1318888,2026-03-31T21:16:28.000Z,"Metallurgical Results & Mining Proposal Submission, Mt Edon",1811KB,true,EMC,,"[""Progress Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03067746-6A1316139,2026-03-12T21:22:47.000Z,Drilling hits Bonanza grades at Mt Dimer Taipan Gold Project,1388KB,true,EMC,,"[""Progress Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03066612-6A1315630,2026-03-10T05:50:57.000Z,Half Year Accounts - December 2025,847KB,false,EMC,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03061402-6A1313762,2026-02-25T21:09:23.000Z,EMC Lodges Patent Application for Rubidium Extraction,579KB,false,EMC,,"[""Progress Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03058142-6A1312698,2026-02-18T21:08:56.000Z,Drilling Confirms Continuous Gold Mineralisation at Revere,2165KB,true,EMC,,"[""Progress Report""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
EMC,204257036,2924-03055099-6A1311437,2026-02-10T21:17:00.000Z,Corporate Presentation,5585KB,true,EMC,,"[""Company Presentation""]","[{""symbolDisplay"": ""EMC""}]","[{""symbol"": ""EMC"", ""xid"": ""5593093"", ""ASXSecurityType"": 1, ""displayName"": ""EVEREST METALS CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000258170"", ""xidEntity"": 204257036}]","[""EMC"", """"]"
