ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
EMH,220360569,2924-03104076-6A1331056,2026-06-25T08:51:44.000Z,Change of Director's Interest Notice - RP,166KB,false,EMH,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03104073-6A1331053,2026-06-25T08:46:49.000Z,Notification regarding unquoted securities - EMH,16KB,false,EMH,,"[""Appendix 3G""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03103252-6A1330744,2026-06-23T23:13:08.000Z,Cinovec LCP Optimisation Delivers Potential Savings,458KB,true,EMH,,"[""Progress Report""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03095488-6A1327662,2026-05-29T09:03:34.000Z,Results of Meeting,336KB,false,EMH,,"[""Results of Meeting""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03087572-6A1324488,2026-05-06T22:55:00.000Z,Cinovec Project Environmental Impact Assessment,430KB,false,EMH,,"[""Progress Report""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03085253-6A1323510,2026-04-30T09:06:29.000Z,Ceasing to be a substantial holder,304KB,false,EMH,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03084046-6A1322831,2026-04-29T07:17:05.000Z,Proposed issue of securities - EMH,16KB,false,EMH,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03084045-6A1322832,2026-04-29T07:17:00.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,509KB,true,EMH,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03084040-6A1322828,2026-04-29T07:11:30.000Z,Notice of Annual General Meeting/Proxy Form,820KB,false,EMH,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
EMH,220360569,2924-03079422-6A1320703,2026-04-15T23:34:28.000Z,Clarification of Incorrect Geomet Report,151KB,false,EMH,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""EMH""}]","[{""symbol"": ""EMH"", ""xid"": ""48219243"", ""ASXSecurityType"": 1, ""displayName"": ""EUROPEAN METALS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EMH5"", ""xidEntity"": 220360569}]","[""EMH"", """"]"
