ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ESK,220962658,2924-03103579-2A1679233,2026-06-24T08:56:09.000Z,Results of Annual General Meeting,339KB,false,ESK,,"[""Results of Meeting""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03103527-2A1679213,2026-06-24T07:28:09.000Z,AGM presentation,989KB,false,ESK,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03102473-2A1678477,2026-06-22T01:37:21.000Z,North American Equipment Order,297KB,true,ESK,,"[""Progress Report""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03092899-2A1673384,2026-05-22T05:14:17.000Z,Change of Director's Interest Notice Peter Stephens,370KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03092331-2A1673116,2026-05-20T23:10:15.000Z,Supplementary disclosure to AGM Notice of meeting,288KB,false,ESK,,"[""Notice of Annual General Meeting""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03090452-2A1672234,2026-05-14T23:36:01.000Z,Notice of Annual General Meeting/Proxy Form,4211KB,false,ESK,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03088877-2A1671508,2026-05-11T06:47:17.000Z,Application for quotation of securities - ESK,17KB,false,ESK,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03088869-2A1671502,2026-05-11T06:41:57.000Z,Notification regarding unquoted securities - ESK,16KB,false,ESK,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03083006-2A1668448,2026-04-27T23:24:28.000Z,Trading Update,317KB,true,ESK,,"[""Trading Update""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03080514-2A1667364,2026-04-20T06:27:27.000Z,Notice of Annual General Meeting date,302KB,false,ESK,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03078528-2A1666388,2026-04-14T01:51:27.000Z,Change of Director's Interest Notice David Deacon,218KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03077990-2A1666090,2026-04-12T23:18:31.000Z,Change of Director's Interest Notice David Deacon,218KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03075303-2A1664191,2026-04-02T02:04:23.000Z,Australian Government Contract Award ($9m),306KB,true,ESK,,"[""Progress Report""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03071738-2A1662173,2026-03-24T21:21:44.000Z,Appendix 4G,289KB,false,ESK,,"[""Appendix 4G""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03071736-2A1662168,2026-03-24T21:21:34.000Z,Annual Report to shareholders,18051KB,false,ESK,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03071441-2A1662020,2026-03-23T22:54:15.000Z,UK project revenue increase,225KB,true,ESK,,"[""Progress Report""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03069787-2A1661129,2026-03-18T05:45:10.000Z,Notice under section 708A of the Corporations Act,241KB,false,ESK,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03069784-2A1661127,2026-03-18T05:39:00.000Z,Application for quotation of securities - ESK,17KB,false,ESK,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03063280-2A1657145,2026-03-01T21:32:35.000Z,UK Government Project Delivery Update,280KB,false,ESK,,"[""Progress Report""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03059969-2A1655309,2026-02-23T21:18:50.000Z,FY2025 Investor presentation,1168KB,true,ESK,,"[""Company Presentation"", ""Preliminary Final Report""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03059967-2A1655304,2026-02-23T21:18:20.000Z,Preliminary Final Report,554KB,true,ESK,,"[""Preliminary Final Report""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03059708-2A1655170,2026-02-23T03:57:14.000Z,FY2025 Results Webinar,193KB,false,ESK,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03050711-2A1650493,2026-01-29T21:37:14.000Z,Trading Update,540KB,true,ESK,,"[""Trading Update""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03037352-2A1643014,2025-12-14T22:36:58.000Z,Change of Director's Interest Notice Peter Stephens,213KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03036020-2A1642426,2025-12-10T21:24:33.000Z,Notification regarding unquoted securities - ESK,16KB,false,ESK,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03035282-2A1642140,2025-12-09T05:32:00.000Z,Change in substantial holding David Deacon,96KB,false,ESK,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03035278-2A1642137,2025-12-09T05:28:20.000Z,Change in substantial holding Peter Stephens,96KB,false,ESK,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03035239-2A1642112,2025-12-09T04:15:04.000Z,Change of Director's Interest Notice David Deacon,165KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03034698-2A1641882,2025-12-08T05:44:16.000Z,Ceasing to be a substantial holder Paul Barnes,87KB,false,ESK,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03033976-2A1641504,2025-12-05T05:20:52.000Z,Application for quotation of securities - ESK,15KB,false,ESK,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03033959-2A1641492,2025-12-05T05:14:47.000Z,Notice under section 708A of the Corporations Act,156KB,false,ESK,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03033953-2A1641488,2025-12-05T05:10:37.000Z,Application for quotation of securities - ESK,17KB,false,ESK,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03033116-2A1640958,2025-12-03T22:23:41.000Z,Change of Director's Interest Notice David Deacon,165KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03031702-2A1640191,2025-12-01T22:15:50.000Z,Change of Director's Interest Notice Peter Stephens,210KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03031691-2A1640193,2025-12-01T22:12:35.000Z,Change of Director's Interest Notice David Deacon,165KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
ESK,220962658,2924-03029944-2A1639317,2025-11-27T22:29:47.000Z,Change of Director's Interest Notice David Deacon,165KB,false,ESK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESK""}]","[{""symbol"": ""ESK"", ""xid"": ""49750255"", ""ASXSecurityType"": 1, ""displayName"": ""ETHERSTACK PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESK6"", ""xidEntity"": 220962658}]","[""ESK"", """"]"
