ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ESR,216445458,2924-03100169-6A1329453,2026-06-14T23:44:59.000Z,Letter from the Managing Director,179KB,false,ESR,,"[""Letter to Shareholders""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03098932-6A1328969,2026-06-10T07:48:14.000Z,Change of Director's Interest Notice,210KB,false,ESR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03098929-6A1328967,2026-06-10T07:40:29.000Z,Cleansing notice under s708A,135KB,false,ESR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03098926-6A1328964,2026-06-10T07:35:09.000Z,Application for quotation of securities - ESR,15KB,false,ESR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03095183-6A1327530,2026-05-29T02:24:22.000Z,Advanced UAV Survey Completed,1272KB,false,ESR,,"[""Progress Report""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03093873-6A1326996,2026-05-26T06:50:41.000Z,Initial Director's Interest Notice,187KB,false,ESR,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03092916-6A1326603,2026-05-22T05:58:32.000Z,Board and Management Update,345KB,false,ESR,,"[""CEO/Managing Director - Appointment Resignation"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03092487-6A1326446,2026-05-21T03:49:27.000Z,Notification regarding unquoted securities - ESR,16KB,false,ESR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03091434-6A1326057,2026-05-18T23:35:52.000Z,Advanced UAV Survey Commenced,775KB,true,ESR,,"[""Progress Report""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
ESR,216445458,2924-03089999-6A1325456,2026-05-13T23:33:02.000Z,Maiden Resource - Werumata Limestone Project,8838KB,true,ESR,,"[""Disclosure Document"", ""Progress Report""]","[{""symbolDisplay"": ""ESR""}]","[{""symbol"": ""ESR"", ""xid"": ""44939793"", ""ASXSecurityType"": 1, ""displayName"": ""ESTRELLA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ESR1"", ""xidEntity"": 216445458}]","[""ESR"", """"]"
