ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ETM,204217494,2924-03104686-6A1331297,2026-06-28T22:21:36.000Z,Greenlandic Government decision on Kvanefjeld extension,281KB,true,ETM,,"[""Progress Report""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03103742-6A1330870,2026-06-24T23:15:57.000Z,Notification regarding unquoted securities (updated) - ETM,372KB,false,ETM,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03102160-6A1330257,2026-06-19T08:56:11.000Z,Notification regarding unquoted securities - ETM,16KB,false,ETM,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03102151-6A1330261,2026-06-19T08:38:46.000Z,Issue of Shares and Cleansing Notice,247KB,false,ETM,,"[""Issued Capital - Other"", ""Cleansing Notice""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03102146-6A1330256,2026-06-19T08:31:01.000Z,Application for quotation of securities - ETM,15KB,false,ETM,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03102145-6A1330255,2026-06-19T08:29:51.000Z,Application for quotation of securities - ETM,15KB,false,ETM,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03102143-6A1330253,2026-06-19T08:27:31.000Z,Notification regarding unquoted securities - ETM,15KB,false,ETM,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03099511-6A1329207,2026-06-11T22:24:19.000Z,Kvanefjeld Rare Earth Target Discovered,2942KB,true,ETM,,"[""Progress Report""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03096569-6A1328076,2026-06-02T22:39:55.000Z,Investor Presentation,4676KB,false,ETM,,"[""Company Presentation""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
ETM,204217494,2924-03095356-6A1327604,2026-05-29T06:24:08.000Z,ETM Shareholder and Investor Webinar,263KB,false,ETM,,"[""Web Cast""]","[{""symbolDisplay"": ""ETM""}]","[{""symbol"": ""ETM"", ""xid"": ""4802236"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TRANSITION MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000250250"", ""xidEntity"": 204217494, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ETM"", """"]"
