ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
EVG,372716461,2924-03105171-6A1331477,2026-06-29T08:20:22.000Z,Vesting of Performance Rights,204KB,false,EVG,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03104735-6A1331327,2026-06-28T22:27:56.000Z,Exploration to commence at Carp Fluorspar Project,1927KB,true,EVG,,"[""Progress Report""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03102140-6A1330249,2026-06-19T08:22:51.000Z,Resignation of joint Company Secretary,154KB,false,EVG,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03099672-6A1329255,2026-06-12T01:03:50.000Z,Application for quotation of securities - EVG,15KB,false,EVG,,"[""Appendix 2A""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03099670-6A1329253,2026-06-12T01:01:15.000Z,Clarification Announcement,488KB,false,EVG,,"[""Progress Report""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03098336-6A1328729,2026-06-09T01:18:47.000Z,Notice of General Meeting/Proxy Form,555KB,false,EVG,,"[""Proxy Form"", ""Notice of General Meeting"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03098041-6A1328601,2026-06-08T22:24:41.000Z,Notification of cessation of securities - EVG,12KB,false,EVG,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03097434-6A1328389,2026-06-04T08:20:52.000Z,Application for quotation of securities - EVG,15KB,false,EVG,,"[""Appendix 2A""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03096997-6A1328246,2026-06-03T22:19:34.000Z,Evion expandable graphite operation delivers US$530k EBITDA,424KB,true,EVG,,"[""Progress Report""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
EVG,372716461,2924-03096514-6A1328051,2026-06-02T22:17:45.000Z,Presentation - Strategic Expansion into Fluorspar,9079KB,false,EVG,,"[""Company Presentation""]","[{""symbolDisplay"": ""EVG""}]","[{""symbol"": ""EVG"", ""xid"": ""445699162"", ""ASXSecurityType"": 1, ""displayName"": ""EVION GROUP NL"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000254690"", ""xidEntity"": 372716461}]","[""EVG"", """"]"
