ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
EXP,235627172,2924-03105781-2A1680821,2026-06-30T08:01:41.000Z,Update on New Growth Initiatives,117KB,false,EXP,,"[""Progress Report""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03097380-2A1675804,2026-06-04T06:43:32.000Z,Change in substantial holding,318KB,false,EXP,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03093868-2A1673889,2026-05-26T06:44:26.000Z,Q3 FY26 Trading Update,688KB,true,EXP,,"[""Trading Update"", ""Company Presentation""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03085807-2A1669662,2026-05-01T08:54:53.000Z,Completion of Sale of Wild Bush Luxury to Intrepid Travel,70KB,true,EXP,,"[""Asset Disposal""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03079956-2A1667070,2026-04-17T03:28:33.000Z,Change of Company Secretary,212KB,false,EXP,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03074124-2A1663477,2026-03-31T03:51:16.000Z,Change of Director's Interest Notice - JOS,290KB,false,EXP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03061300-2A1656064,2026-02-25T07:46:37.000Z,1H26 Results Announcement,154KB,true,EXP,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03061297-2A1656062,2026-02-25T07:44:17.000Z,1H26 Results Presentation,4953KB,true,EXP,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03061293-2A1656060,2026-02-25T07:36:32.000Z,1H26 Appendix 4D and Interim Financial Report,680KB,true,EXP,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03057421-2A1653977,2026-02-17T04:11:21.000Z,Update to link to register for H1FY26 results teleconference,202KB,false,EXP,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03056924-2A1653786,2026-02-16T04:09:16.000Z,Date of release of H1 FY26 Results,428KB,false,EXP,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03050463-2A1650417,2026-01-29T06:33:28.000Z,Q2 FY26 Trading Update,679KB,true,EXP,,"[""Trading Update""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03043593-2A1646637,2026-01-05T22:49:14.000Z,Notification of cessation of securities - EXP,13KB,false,EXP,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03042774-2A1645902,2026-01-01T21:32:55.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03042522-2A1645757,2025-12-30T22:27:03.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03042220-2A1645472,2025-12-29T22:10:00.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03042005-2A1645323,2025-12-28T22:25:06.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03041501-2A1645051,2025-12-23T22:14:15.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03040243-2A1644380,2025-12-21T21:54:23.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03039781-2A1644161,2025-12-19T01:53:34.000Z,Change of Director's Interest Notice - JOS,295KB,false,EXP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03039598-2A1644032,2025-12-18T22:23:03.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03038605-2A1643580,2025-12-17T04:38:08.000Z,Notification regarding unquoted securities - EXP,18KB,false,EXP,,"[""Appendix 3G""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03037251-2A1642967,2025-12-14T21:56:57.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03036574-2A1642651,2025-12-11T21:37:11.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03036073-2A1642461,2025-12-10T21:59:33.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03035545-2A1642244,2025-12-09T22:19:25.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03034712-2A1641889,2025-12-08T05:52:51.000Z,EXP to Divest Wild Bush Luxury to Intrepid Travel,97KB,true,EXP,,"[""Asset Disposal""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03034704-2A1641886,2025-12-08T05:50:11.000Z,Change in substantial holding,1073KB,false,EXP,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03025114-2A1637136,2025-11-19T03:45:53.000Z,Results of 2025 AGM,373KB,false,EXP,,"[""Results of Meeting""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03025034-2A1637098,2025-11-19T01:16:08.000Z,2025 AGM Chair Address and CEO Presentation,1469KB,true,EXP,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03012571-2A1631120,2025-10-23T05:14:31.000Z,Q1 FY26 Trading Update,676KB,true,EXP,,"[""Trading Update"", ""Company Presentation""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03009792-2A1630030,2025-10-17T03:07:38.000Z,Notice of Annual General Meeting/Proxy Form,1730KB,false,EXP,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-03005145-2A1627906,2025-10-08T01:29:21.000Z,Notification of cessation of securities - EXP,12KB,false,EXP,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02996967-2A1623271,2025-09-23T00:37:43.000Z,Date of 2025 AGM,211KB,false,EXP,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02986001-2A1617640,2025-08-28T08:46:36.000Z,Appendix 4G and Corporate Governance Statement,861KB,false,EXP,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02985998-2A1617639,2025-08-28T08:38:46.000Z,FY25 Results Announcement,152KB,true,EXP,,"[""Preliminary Final Report"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02985994-2A1617638,2025-08-28T08:35:56.000Z,FY25 Results Presentation,3060KB,true,EXP,,"[""Company Presentation"", ""Preliminary Final Report""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02985991-2A1617637,2025-08-28T08:32:36.000Z,Dividend/Distribution - EXP,13KB,false,EXP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02985977-2A1617632,2025-08-28T08:20:56.000Z,FY25 Appendix 4E and Annual Report,3207KB,true,EXP,,"[""Annual Report"", ""Top 20 shareholders"", ""Preliminary Final Report"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02981772-2A1615362,2025-08-21T07:07:38.000Z,Date of Release of FY25 Results,200KB,false,EXP,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02972430-2A1610564,2025-07-29T22:37:11.000Z,Q4 FY25 Trading Update,679KB,true,EXP,,"[""Trading Update"", ""Company Presentation""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02964276-2A1606645,2025-07-03T23:35:08.000Z,Notification of cessation of securities - EXP,12KB,false,EXP,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02959562-2A1603376,2025-06-23T22:38:14.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02959012-2A1603059,2025-06-22T22:25:10.000Z,Change in substantial holding,190KB,false,EXP,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02958770-2A1602900,2025-06-20T04:22:49.000Z,Becoming a substantial holder,1642KB,false,EXP,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02958568-2A1602811,2025-06-19T22:38:22.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02958184-2A1602608,2025-06-18T22:32:14.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02957746-2A1602361,2025-06-17T22:42:26.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02957286-2A1602159,2025-06-16T22:30:43.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
EXP,235627172,2924-02956280-2A1601658,2025-06-12T22:45:37.000Z,Update - Notification of buy-back - EXP,15KB,false,EXP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""EXP""}]","[{""symbol"": ""EXP"", ""xid"": ""86313930"", ""ASXSecurityType"": 1, ""displayName"": ""EXPERIENCE CO LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EXP5"", ""xidEntity"": 235627172}]","[""EXP"", """"]"
