ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FAU,204146264,2924-03105134-6A1331466,2026-06-29T07:20:52.000Z,Notification regarding unquoted securities - FAU,17KB,false,FAU,,"[""Appendix 3G""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03104980-6A1331405,2026-06-29T02:47:01.000Z,Options Prospectus,508KB,false,FAU,,"[""Issued Capital - Other"", ""Disclosure Document""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03104854_NPS-6A1331364,2026-06-28T23:23:01.000Z,VKA: VIKING DIVESTS NON-CORE GOLD PROJECT FOR UP TO $5M,668KB,false,FAU,,"[""Asset Disposal""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03104832-6A1331313,2026-06-28T23:15:16.000Z,Cleansing Notice,146KB,false,FAU,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03104831-6A1331312,2026-06-28T23:15:06.000Z,Proposed issue of securities - FAU,18KB,false,FAU,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03104830_PS-6A1331311,2026-06-28T23:14:51.000Z,FAU to Acquire High-Grade Kalgoorlie Resource,820KB,true,FAU,,"[""Asset Acquisition"", ""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03104643-6A1331254,2026-06-26T08:38:29.000Z,Application for quotation of securities - FAU,15KB,false,FAU,,"[""Appendix 2A""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03104642-6A1331252,2026-06-26T08:37:19.000Z,Application for quotation of securities - FAU,15KB,false,FAU,,"[""Appendix 2A""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03103765-6A1330936,2026-06-24T23:29:33.000Z,Trading Halt,906KB,true,FAU,,"[""Trading Halt""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03095206-6A1327542,2026-05-29T03:19:52.000Z,Results of Meeting,445KB,false,FAU,,"[""Results of Meeting""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03090988-6A1325877,2026-05-17T23:49:12.000Z,Heritage survey completed at Razorback and NSR terminated,488KB,true,MBG,,"[""Security holder details - Other"", ""Issued Capital - Other"", ""Progress Report""]","[{""symbolDisplay"": ""MBG""}, {""symbolDisplay"": ""FAU""}]","[{""symbol"": ""MBG"", ""xid"": ""1047330457"", ""ASXSecurityType"": 1, ""displayName"": ""MB GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000452344"", ""xidEntity"": 1038820583, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MBG"", ""FAU"", """"]"
FAU,204146264,2924-03090116-6A1325498,2026-05-14T02:22:18.000Z,Addendum to 2026 Notice of Annual General Meeting,891KB,false,FAU,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Alteration to Notice of Meeting""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
FAU,204146264,2924-03088621-6A1324897,2026-05-10T22:56:29.000Z,Director Appointment and Resignation,1389KB,false,FAU,,"[""Initial Director's Interest Notice"", ""Final Director's Interest Notice"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""FAU""}]","[{""symbol"": ""FAU"", ""xid"": ""228779"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST AU LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000015414"", ""xidEntity"": 204146264}]","[""FAU"", """"]"
