ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FDV,358867667,2924-03104030-3A695996,2026-06-25T07:23:44.000Z,Change of Director's Interest Notice - JD,226KB,false,FDV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03104027-3A695995,2026-06-25T07:20:34.000Z,Change of Director's Interest Notice - NW,226KB,false,FDV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03102559-3A695749,2026-06-22T06:24:06.000Z,Cleansing Notice,297KB,false,FDV,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03102557-3A695748,2026-06-22T06:22:21.000Z,Application for quotation of securities - FDV,18KB,false,FDV,,"[""Appendix 2A""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03100387-3A695347,2026-06-15T08:14:58.000Z,Change of Director's Interest Notice - P. Grove & L. Elliott,749KB,false,FDV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03099745-3A695224,2026-06-12T03:51:06.000Z,Change of interests of substantial holder - Cove view,801KB,false,FDV,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03099561-3A695190,2026-06-11T23:06:19.000Z,Notification regarding unquoted securities - FDV,23KB,false,FDV,,"[""Appendix 3G""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03096943-3A694686,2026-06-03T08:06:13.000Z,Change of Auditor,228KB,false,FDV,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03094706-3A694213,2026-05-28T02:07:08.000Z,Change of Director's Interest Notice - P. Grove & L. Elliott,688KB,false,FDV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
FDV,358867667,2924-03094549-3A694183,2026-05-27T23:07:56.000Z,Final Director's Interest Notice - S Di Gregorio,199KB,false,FDV,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""FDV""}]","[{""symbol"": ""FDV"", ""xid"": ""360823451"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER DIGITAL VENTURES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FDV2"", ""xidEntity"": 358867667, ""sector"": ""Communication Services"", ""industryGroup"": ""Media & Entertainment"", ""industry"": ""Interactive Media & Services"", ""subIndustry"": ""Interactive Media & Services""}]","[""FDV"", """"]"
