ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FEL,233711348,2924-03089644-3A693224,2026-05-13T00:39:49.000Z,Investor Presentation,5839KB,false,FEL,,"[""Company Presentation""]","[{""symbolDisplay"": ""FEL""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""FEL"", """"]"
FEL,233711348,2924-03084659-3A692335,2026-04-30T00:04:26.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,735KB,true,FEL,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""FEL""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""FEL"", """"]"
FEL,233711348,2924-03071059-3A689910,2026-03-23T00:17:01.000Z,AWARD OF HIGHLY PROSPECTIVE ALASKAN LEASES,292KB,true,FEL,,"[""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""FEL""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""FEL"", """"]"
FEL,233711348,2924-03070048-3A689728,2026-03-18T22:46:06.000Z,Trading Halt,334KB,true,FEL,,"[""Trading Halt""]","[{""symbolDisplay"": ""FEL""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""FEL"", """"]"
FEL,233711348,2924-03068341-3A689429,2026-03-13T08:20:16.000Z,Half Year Report,1014KB,false,FEL,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""FEL""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""FEL"", """"]"
FEL,233711348,2924-03067868-3A689336,2026-03-12T22:33:47.000Z,Alaskan Oil Lease Acquisition Completed,277KB,true,FEL,,"[""Progress Report""]","[{""symbolDisplay"": ""FEL""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""FEL"", """"]"
FEL,233711348,2924-03055890-3A686987,2026-02-12T04:32:51.000Z,CLEANSING NOTICE AND CHANGE OF ASX CODE,174KB,false,IPB,,"[""Company Administration - Other"", ""Change of Company Name"", ""Cleansing Notice""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03055883-3A686986,2026-02-12T04:18:56.000Z,Change of Director's Interest Notice x 3,418KB,false,IPB,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03055881-3A686984,2026-02-12T04:11:31.000Z,Application for quotation of securities - IPB,15KB,false,IPB,,"[""Appendix 2A""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03055876-3A686982,2026-02-12T04:04:11.000Z,Notification regarding unquoted securities - IPB,16KB,false,IPB,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03055868-3A686981,2026-02-12T03:56:11.000Z,Notification regarding unquoted securities - IPB,17KB,false,IPB,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03055484-3A686919,2026-02-11T07:11:33.000Z,Change in substantial holding,240KB,false,IPB,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03054873-3A686804,2026-02-10T01:07:33.000Z,Change of Company Name,110KB,false,IPB,,"[""Change of Company Name""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03053561-3A686598,2026-02-05T08:35:09.000Z,Proposed issue of securities - IPB,16KB,false,IPB,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03053488-3A686582,2026-02-05T06:15:08.000Z,Results of General Meeting,228KB,false,IPB,,"[""Results of Meeting""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03051012-3A686220,2026-01-29T23:18:44.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,626KB,true,IPB,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03042607-3A684809,2025-12-31T01:24:24.000Z,Notice of General Meeting/Proxy Form,567KB,false,IPB,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03042354-3A684771,2025-12-30T03:16:27.000Z,Change in substantial holding,227KB,false,IPB,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03037601-3A683920,2025-12-15T05:14:00.000Z,Change of Director's Interest Notice,343KB,false,IPB,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03036675-3A683766,2025-12-11T22:48:02.000Z,Placement Allocation and Cleansing Notice,136KB,false,IPB,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03036666-3A683764,2025-12-11T22:42:32.000Z,Application for quotation of securities - IPB,15KB,false,IPB,,"[""Appendix 2A""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03033234-3A683186,2025-12-03T23:44:22.000Z,Proposed issue of securities - IPB,22KB,false,IPB,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03033233-3A683185,2025-12-03T23:44:07.000Z,ACQUISITION OF HIGHLY PROSPECTIVE ALASKAN ASSETS,282KB,true,IPB,,"[""Placement"", ""Asset Acquisition"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03031720-3A682897,2025-12-01T22:25:00.000Z,Trading Halt,174KB,true,IPB,,"[""Trading Halt""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
FEL,233711348,2924-03028835-3A682443,2025-11-26T07:30:04.000Z,Chairman's Address and Results of Meeting,209KB,false,IPB,,"[""Results of Meeting"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""IPB""}]","[{""symbol"": ""FEL"", ""xid"": ""56127405"", ""ASXSecurityType"": 1, ""displayName"": ""FORTE ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000456097"", ""xidEntity"": 233711348}]","[""IPB"", """"]"
