ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FFI,204261065,2924-03100667-6A1329645,2026-06-16T02:07:35.000Z,Change in substantial holding,332KB,false,FFI,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03078746-6A1320436,2026-04-14T08:51:14.000Z,Change in substantial holding,643KB,false,FFI,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03075318-6A1319210,2026-04-02T02:43:43.000Z,Change of Director's Interest Notice,239KB,false,FFI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03075227-6A1319188,2026-04-01T23:46:22.000Z,Change of Director's Interest Notice,305KB,false,FFI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03075225-6A1319187,2026-04-01T23:43:27.000Z,Change of Director's Interest Notice,295KB,false,FFI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03073106-6A1318273,2026-03-27T06:54:31.000Z,Application for quotation of securities - FFI,14KB,false,FFI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03070739-6A1317356,2026-03-20T07:39:38.000Z,Update - Dividend/Distribution - FFI,15KB,false,FFI,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03059148-6A1313028,2026-02-20T07:23:29.000Z,Dividend/Distribution - FFI,15KB,false,FFI,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03058552-6A1312833,2026-02-19T04:16:09.000Z,Half Yearly Report and Accounts,497KB,true,FFI,,"[""Dividend Reinvestment Plan"", ""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
FFI,204261065,2924-03051796-6A1309975,2026-02-01T22:24:33.000Z,Profit Guidance,165KB,true,FFI,,"[""Profit Guidance"", ""Notification of Results/Reporting Date""]","[{""symbolDisplay"": ""FFI""}]","[{""symbol"": ""FFI"", ""xid"": ""106371"", ""ASXSecurityType"": 1, ""displayName"": ""FFI HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FFI4"", ""xidEntity"": 204261065}]","[""FFI"", """"]"
