ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FGR,204224923,2924-03105606-6A1331602,2026-06-30T04:13:51.000Z,First Graphene to host investor update webinar,1476KB,false,FGR,,"[""Company Presentation"", ""Web Cast""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03101444-6A1329966,2026-06-17T23:21:39.000Z,Strategic acquisition of Mito Material Solutions complete,213KB,true,FGR,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03099841-6A1329309,2026-06-12T06:50:47.000Z,Cleansing Statement,165KB,false,FGR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03099840-6A1329308,2026-06-12T06:48:42.000Z,Application for quotation of securities - FGR,15KB,false,FGR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03097251-6A1328319,2026-06-04T01:38:30.000Z,FGR Corporate Presentation June 2026,1425KB,false,FGR,,"[""Company Presentation""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03097180-6A1328300,2026-06-03T23:45:44.000Z,Proposed issue of securities - FGR,15KB,false,FGR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03097177-6A1328298,2026-06-03T23:42:54.000Z,Proposed issue of securities - FGR,15KB,false,FGR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03097116-6A1328282,2026-06-03T22:59:09.000Z,FGR Acquires MITO Material Solutions Inc,226KB,true,FGR,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03084920-6A1323311,2026-04-30T04:37:38.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,1025KB,true,FGR,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03082922-6A1322257,2026-04-27T22:37:32.000Z,Proposed issue of securities - FGR,14KB,false,FGR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03082919-6A1322255,2026-04-27T22:36:37.000Z,FGR to acquire advanced graphene coatings companies,214KB,true,FGR,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03081665-6A1321661,2026-04-22T23:11:02.000Z,Strong results in Graphene enhanced cement roof tile trial,211KB,true,FGR,,"[""Progress Report""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03077753-6A1320066,2026-04-10T07:38:53.000Z,Application for quotation of securities - FGR,15KB,false,FGR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03064955-6A1314962,2026-03-04T23:50:44.000Z,North American market expanded to Canada for PureGRAPH,208KB,true,FGR,,"[""Progress Report""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03061269-6A1313692,2026-02-25T07:07:27.000Z,Half Yearly Report and Accounts,1359KB,true,FGR,,"[""Top 20 shareholders"", ""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03057411-6A1312454,2026-02-17T03:38:41.000Z,Change of Company Secretary,494KB,false,FGR,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03053399-6A1310728,2026-02-05T03:07:17.000Z,Response to ASX Price and Volume Query,487KB,true,FGR,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03052664-6A1310388,2026-02-03T21:20:51.000Z,Commercial pathways to India and UAE,228KB,true,FGR,,"[""Progress Report""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03051643-6A1309889,2026-02-01T21:15:47.000Z,Application for quotation of securities - FGR,15KB,false,FGR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03050573-6A1309269,2026-01-29T21:14:53.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,1415KB,true,FGR,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
FGR,204224923,2924-03050073-6A1309000,2026-01-28T22:20:46.000Z,First production of graphene enhanced concrete roof tiles,927KB,true,FGR,,"[""Progress Report""]","[{""symbolDisplay"": ""FGR""}]","[{""symbol"": ""FGR"", ""xid"": ""270431"", ""ASXSecurityType"": 1, ""displayName"": ""FIRST GRAPHENE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FGR3"", ""xidEntity"": 204224923}]","[""FGR"", """"]"
