ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FHE,204217192,2924-03104352-6A1331156,2026-06-26T01:37:47.000Z,Change of Registered Address,101KB,false,FHE,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03099796-6A1329288,2026-06-12T05:48:22.000Z,Notification regarding unquoted securities - FHE,22KB,false,FHE,,"[""Appendix 3G""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03099785-6A1329289,2026-06-12T05:26:57.000Z,Change of Director's Interest Notice,245KB,false,FHE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03099783-6A1329286,2026-06-12T05:24:31.000Z,Notification regarding unquoted securities - FHE,22KB,false,FHE,,"[""Appendix 3G""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03098419-6A1328762,2026-06-09T05:21:03.000Z,Notice of General Meeting/Proxy Form,670KB,false,FHE,,"[""Proxy Form"", ""Notice of General Meeting"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03097157-6A1328264,2026-06-03T23:25:14.000Z,Proposed issue of securities - FHE,16KB,false,FHE,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03097156-6A1328270,2026-06-03T23:25:04.000Z,Investor Presentation,4921KB,false,FHE,,"[""Company Presentation""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03097155-6A1328265,2026-06-03T23:24:30.000Z,Frontier secures firm commitments for A$110M equity raising,260KB,true,FHE,,"[""Placement"", ""Trading Halt Lifted"", ""Debt Facility""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03096152-6A1327903,2026-06-01T23:10:36.000Z,Trading Halt,393KB,true,FHE,,"[""Trading Halt""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03092958-6A1326619,2026-05-22T06:52:28.000Z,Change of Director's Interest Notice,238KB,false,FHE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03091192-6A1325942,2026-05-18T07:12:30.000Z,Change of Director's Interest Notice,237KB,false,FHE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03090529-6A1325659,2026-05-15T02:26:12.000Z,Results of Meeting,183KB,false,FHE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03088806-6A1324968,2026-05-11T04:21:46.000Z,Change of Director's Interest Notice,237KB,false,FHE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03088804-6A1324966,2026-05-11T04:18:21.000Z,Change of Director's Interest Notice,217KB,false,FHE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03086211-6A1323898,2026-05-04T02:50:39.000Z,Waroona Project selected for Capacity Investment Scheme,295KB,true,FHE,,"[""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
FHE,204217192,2924-03085576-6A1323620,2026-05-01T03:49:21.000Z,Trading Halt,393KB,true,FHE,,"[""Trading Halt""]","[{""symbolDisplay"": ""FHE""}]","[{""symbol"": ""FHE"", ""xid"": ""584496360"", ""ASXSecurityType"": 1, ""displayName"": ""FRONTIER ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000207912"", ""xidEntity"": 204217192}]","[""FHE"", """"]"
