ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FLT,204231711,2924-03104127-2A1679572,2026-06-25T22:15:22.000Z,Change in substantial holding,1012KB,false,FLT,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03104034-2A1679461,2026-06-25T07:27:14.000Z,Ceasing to be a substantial holder from MUFG,982KB,false,FLT,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03103465-2A1679082,2026-06-24T05:58:29.000Z,Ceasing to be a substantial holder,117KB,false,FLT,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03103032-2A1678829,2026-06-23T07:27:25.000Z,Change in substantial holding,243KB,false,FLT,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03102611-2A1678542,2026-06-22T07:29:56.000Z,Becoming a substantial holder from MUFG,4977KB,false,FLT,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03102194-2A1678349,2026-06-21T22:11:30.000Z,Change in substantial holding,1197KB,false,FLT,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03102052-2A1678293,2026-06-19T06:30:40.000Z,Becoming a substantial holder,440KB,false,FLT,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03100871-2A1677739,2026-06-16T22:16:58.000Z,Notification of buy-back - FLT,13KB,false,FLT,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03100870-2A1677740,2026-06-16T22:16:43.000Z,FLT Amends FY26 Profit Guidance and Announces Buy-Back,96KB,true,FLT,,"[""Profit Guidance"", ""Market Buy-Back""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
FLT,204231711,2924-03099485-2A1677028,2026-06-11T22:22:29.000Z,Becoming a substantial holder,1382KB,false,FLT,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""FLT""}]","[{""symbol"": ""FLT"", ""xid"": ""108040"", ""ASXSecurityType"": 1, ""displayName"": ""FLIGHT CENTRE TRAVEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FLT9"", ""xidEntity"": 204231711}]","[""FLT"", """"]"
