ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FRI,204184074,2924-03100388-6A1329536,2026-06-15T08:17:58.000Z,Bel-Air Complete/Titles Issued/FY26 Profit Guidance Restated,3749KB,true,FRI,,"[""Profit Guidance"", ""Progress Report""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03094980-6A1327454,2026-05-28T22:22:55.000Z,Change of Director's Interest Notice - JC,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03093580-6A1326883,2026-05-25T22:24:58.000Z,Change of Director's Interest Notice - JC,208KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03093579-6A1326882,2026-05-25T22:24:48.000Z,Change of Director's Interest Notice - MC,208KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03093578-6A1326881,2026-05-25T22:24:38.000Z,Change of Director's Interest Notice - RC,228KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03093563-6A1326877,2026-05-25T22:22:08.000Z,Change of Director's Interest Notice - JC,170KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03086426-6A1323994,2026-05-04T22:17:47.000Z,Change of Director's Interest Notice - J Chan,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03083458-6A1322525,2026-04-28T22:19:07.000Z,Garden Towers Achieves Major Topping Out Milestone,623KB,true,FRI,,"[""Progress Report""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03083053-6A1322341,2026-04-27T23:47:58.000Z,Change of Director's Interest Notice - J Chan,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03078797-6A1320463,2026-04-14T22:19:04.000Z,Settlement Completed and DA Lodged on West Leederville Site,553KB,true,FRI,,"[""Progress Report""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03078314-6A1320284,2026-04-13T22:14:46.000Z,Change of Director's Interest Notice - J Chan,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03077356-6A1319945,2026-04-09T22:20:05.000Z,Investor Hub Launch To Enhance Shareholder Engagement,219KB,false,FRI,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03076796-6A1319739,2026-04-08T22:17:56.000Z,Change of Director's Interest Notice - J Chan,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03066755-6A1315730,2026-03-10T21:25:09.000Z,Change of Director's Interest Notice - J Chan,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03063730-6A1314503,2026-03-02T21:25:25.000Z,Change of Director's Interest Notice - MC,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03063729-6A1314502,2026-03-02T21:25:14.000Z,Change of Director's Interest Notice - RC,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03063728-6A1314501,2026-03-02T21:25:05.000Z,Change of Director's Interest Notice - JC,171KB,false,FRI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03061377-6A1313745,2026-02-25T21:04:02.000Z,Executive Chair Transition and Executive Director Appointed,197KB,true,FRI,,"[""Chair Appointment/Resignation"", ""Director Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03061376-6A1313744,2026-02-25T21:03:52.000Z,H1 FY26 Financial Results and Project Update Presentation,17370KB,true,FRI,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
FRI,204184074,2924-03061375-6A1313743,2026-02-25T21:03:37.000Z,H1 FY26 Financial Results Announcement,261KB,true,FRI,,"[""Half Yearly Report"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""FRI""}]","[{""symbol"": ""FRI"", ""xid"": ""112341"", ""ASXSecurityType"": 1, ""displayName"": ""FINBAR GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FRI9"", ""xidEntity"": 204184074}]","[""FRI"", """"]"
