ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
FZR,231416300,2924-03097511-6A1328427,2026-06-04T22:25:13.000Z,Update on Snowy River Gold Project,143KB,false,FZR,,"[""Progress Report""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-03084134-6A1322884,2026-04-29T22:01:25.000Z,Quarterly Activities & Cashflow Report,706KB,true,FZR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-03073311-6A1318374,2026-03-29T21:54:45.000Z,Update on Snowy River Gold Project,174KB,true,FZR,,"[""Progress Report""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-03067498-6A1316011,2026-03-12T01:34:34.000Z,Half Year Report and Accounts,526KB,false,FZR,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-03048846-6A1308369,2026-01-26T21:18:18.000Z,Quarterly Activities & Cashflow Report,733KB,true,FZR,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-03029464-6A1299682,2025-11-27T04:07:16.000Z,Results of Annual General Meeting,245KB,false,FZR,,"[""Results of Meeting""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-03015324-6A1293771,2025-10-28T21:59:13.000Z,Quarterly Activities & Cashflow Report,738KB,true,FZR,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-03013964-6A1293069,2025-10-27T01:35:50.000Z,Notice of Annual General Meeting/Proxy Form,486KB,false,FZR,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-03000744-6A1287041,2025-09-30T03:11:08.000Z,AGM Advanced Notice & Director Nominations,125KB,false,FZR,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
FZR,231416300,2924-02989009-6A1282005,2025-09-03T22:19:39.000Z,Appendix 4G & Corporate Governance Statement,577KB,false,FZR,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""FZR""}]","[{""symbol"": ""FZR"", ""xid"": ""176113"", ""ASXSecurityType"": 1, ""displayName"": ""FITZROY RIVER CORPORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000FZR3"", ""xidEntity"": 231416300, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""FZR"", """"]"
