ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
GBL,204146154,2924-03102147-2A1678336,2026-06-19T08:32:41.000Z,Ceasing to be a substantial holder from HUB,396KB,false,GBL,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""GBL""}, {""symbolDisplay"": ""HUB""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", ""HUB"", """"]"
GBL,204146154,2924-03100935-2A1677756,2026-06-16T22:31:23.000Z,GBL CU-AU-AG-U Project,5699KB,false,GBL,,"[""Company Presentation""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
GBL,204146154,2924-03100851-2A1677718,2026-06-16T09:00:23.000Z,Reinstatement to Quotation,190KB,true,GBL,,"[""Reinstatement to Official Quotation""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
GBL,204146154,2924-03100698-2A1677640,2026-06-16T03:28:11.000Z,Pre-Reinstatement Disclosure,134KB,false,GBL,,"[""Waiver"", ""Issued Capital - Other"", ""Reinstatement to Official Quotation"", ""Director Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
GBL,204146154,2924-03100697-2A1677639,2026-06-16T03:26:11.000Z,Top 20 Shareholders,87KB,false,GBL,,"[""Top 20 shareholders"", ""Reinstatement to Official Quotation""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
GBL,204146154,2924-03100696-2A1677638,2026-06-16T03:23:11.000Z,Distribution Schedule,63KB,false,GBL,,"[""Issued Capital - Other"", ""Reinstatement to Official Quotation""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
GBL,204146154,2924-03100695-2A1677637,2026-06-16T03:17:06.000Z,Securities Trading Policy,149KB,false,GBL,,"[""Reinstatement to Official Quotation"", ""Trading Policy""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
GBL,204146154,2924-03100694-2A1677636,2026-06-16T03:13:21.000Z,Corporate Governance Statement,197KB,false,GBL,,"[""Corporate Governance"", ""Reinstatement to Official Quotation""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
GBL,204146154,2924-03100693-2A1677635,2026-06-16T03:08:36.000Z,Employee Incentive Plan,363KB,false,GBL,,"[""Reinstatement to Official Quotation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
GBL,204146154,2924-03100692-2A1677634,2026-06-16T03:08:06.000Z,Constitution,576KB,false,GBL,,"[""Reinstatement to Official Quotation"", ""Constitution""]","[{""symbolDisplay"": ""GBL""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", """"]"
