ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
GLB,204143282,2924-03061922-3A688205,2026-02-26T01:31:54.000Z,Dividend/Distribution - GLB,13KB,false,GLB,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-03061918-3A688204,2026-02-26T01:27:44.000Z,Investor Presentation HY 2026,4862KB,false,GLB,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-03061917-3A688203,2026-02-26T01:26:24.000Z,ASX Company Announcement - HY Results 26 February 2026,140KB,false,GLB,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-03061911-3A688202,2026-02-26T01:23:24.000Z,Appendix 4D Half Year Accounts 26 February 2026,719KB,true,GLB,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-03010474-3A679208,2025-10-20T00:53:47.000Z,Results of AGM 2025,129KB,false,GLB,,"[""Results of Meeting""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-03010469-3A679205,2025-10-20T00:39:47.000Z,Chair and CEO's Address to Shareholders 2025 AGM,669KB,false,GLB,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-02995571-3A676719,2025-09-19T00:11:21.000Z,Notice of 2025 AGM and related materials,897KB,false,GLB,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-02995570-3A676718,2025-09-19T00:09:11.000Z,Appendix 4G and Corporate Governance Statement,414KB,false,GLB,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-02995569-3A676717,2025-09-19T00:08:51.000Z,2025 Annual Report,7539KB,false,GLB,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
GLB,204143282,2924-02981635-3A674041,2025-08-21T02:30:12.000Z,Dividend/Distribution - GLB,13KB,false,GLB,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""GLB""}]","[{""symbol"": ""GLB"", ""xid"": ""139207"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLB5"", ""xidEntity"": 204143282, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Durables & Apparel"", ""industry"": ""Textiles, Apparel & Luxury Goods"", ""subIndustry"": ""Apparel, Accessories & Luxury Goods""}]","[""GLB"", """"]"
