ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
GLH,204126383,2924-03081182-3A691781,2026-04-21T23:05:53.000Z,March-26 QTR Business Activity Report and Appendix 4C,467KB,true,GLH,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03071924-3A690107,2026-03-25T00:21:15.000Z,Global Health Limited HY 2026 Results Update for Investors,1519KB,true,GLH,,"[""Company Presentation""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03061106-3A688034,2026-02-25T03:47:36.000Z,GLH December 2025 Half Year Results Summary,472KB,false,GLH,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03061099-3A688031,2026-02-25T03:40:01.000Z,Dec 2025 Appendix 4D and Half Year Accounts,1291KB,true,GLH,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03061026-3A688011,2026-02-25T00:50:20.000Z,Notification regarding unquoted securities - GLH,15KB,false,GLH,,"[""Appendix 3G""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03054478-3A686735,2026-02-09T04:18:35.000Z,Notification regarding unquoted securities - GLH,16KB,false,GLH,,"[""Appendix 3G""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03047141-3A685575,2026-01-19T00:50:15.000Z,Application for quotation of securities - GLH,17KB,false,GLH,,"[""Appendix 2A""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03047108-3A685564,2026-01-18T23:01:49.000Z,Amendment Cover page for Appendix 4C December 25 QTR,323KB,true,GLH,,"[""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03046988-3A685531,2026-01-18T21:30:49.000Z,GLH Appendix 4C December 25 QTR Cash Flow Report,389KB,true,GLH,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
GLH,204126383,2924-03027930-3A682287,2025-11-25T04:48:50.000Z,Results of Annual General Meeting,174KB,false,GLH,,"[""Results of Meeting""]","[{""symbolDisplay"": ""GLH""}]","[{""symbol"": ""GLH"", ""xid"": ""287941"", ""ASXSecurityType"": 1, ""displayName"": ""GLOBAL HEALTH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GLH2"", ""xidEntity"": 204126383}]","[""GLH"", """"]"
