ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
GOW,204240326,2924-03103471-2A1679080,2026-06-24T06:09:14.000Z,Investment Update SpaceX Holding,141KB,false,GOW,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03092944-2A1673406,2026-05-22T06:31:48.000Z,Notification of cessation of securities - GOW,12KB,false,GOW,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03091748-2A1672844,2026-05-19T22:24:26.000Z,Update - Notification of buy-back - GOW,15KB,false,GOW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03091666-2A1672801,2026-05-19T08:29:21.000Z,Update - Notification of buy-back - GOW,13KB,false,GOW,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03083273-2A1668560,2026-04-28T06:23:55.000Z,Change of Director's Interest Notice John Parker,920KB,false,GOW,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03083272-2A1668559,2026-04-28T06:23:50.000Z,Change of Director's Interest Notice James Gowing,977KB,false,GOW,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03083271-2A1668558,2026-04-28T06:23:40.000Z,Change of Director's Interest Notice John Gowing,977KB,false,GOW,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03083270-2A1668561,2026-04-28T06:23:20.000Z,Change in substantial holding,685KB,false,GOW,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03081824-2A1667945,2026-04-23T03:27:58.000Z,Application for quotation of securities - GOW,14KB,false,GOW,,"[""Appendix 2A""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
GOW,204240326,2924-03077330-2A1665647,2026-04-09T22:14:20.000Z,Change in substantial holding,84KB,false,GOW,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""GOW""}]","[{""symbol"": ""GOW"", ""xid"": ""140949"", ""ASXSecurityType"": 1, ""displayName"": ""GOWING BROS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000GOW5"", ""xidEntity"": 204240326}]","[""GOW"", """"]"
