ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
GRE,689459723,2924-03103919-6A1330988,2026-06-25T04:13:53.000Z,Results of Meeting,88KB,false,GRE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03098580-6A1328838,2026-06-09T22:20:00.000Z,Appointment of Technical and Product Marketing Advisor,212KB,false,GRE,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03092846-6A1326570,2026-05-22T02:31:11.000Z,Notice of General Meeting/Proxy Form,694KB,false,GRE,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03091627-6A1326130,2026-05-19T07:25:25.000Z,Change in Substantial Holding,125KB,false,GRE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03091437-6A1326061,2026-05-18T23:43:52.000Z,Cleansing Notice,74KB,false,GRE,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03091436-6A1326060,2026-05-18T23:42:02.000Z,Application for quotation of securities - GRE,17KB,false,GRE,,"[""Appendix 2A""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03089116-6A1325090,2026-05-11T23:36:59.000Z,Investor Presentation,6203KB,false,GRE,,"[""Company Presentation""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03089110-6A1325082,2026-05-11T23:30:14.000Z,Proposed issue of securities - GRE,15KB,false,GRE,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03089109-6A1325080,2026-05-11T23:30:04.000Z,Proposed issue of securities - GRE,15KB,false,GRE,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
GRE,689459723,2924-03089108-6A1325077,2026-05-11T23:29:54.000Z,Oversubscribed $7.5 Million Placement,244KB,true,GRE,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""GRE""}]","[{""symbol"": ""GRE"", ""xid"": ""690464220"", ""ASXSecurityType"": 1, ""displayName"": ""GREENTECH METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189375"", ""xidEntity"": 689459723}]","[""GRE"", """"]"
