ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
GSN,204107321,2924-03103257-6A1330747,2026-06-23T23:15:43.000Z,RC Drilling underway,1195KB,false,GSN,,"[""Progress Report""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03101094-6A1329799,2026-06-17T01:47:05.000Z,Change of Director's Interest Notice,730KB,false,GSN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03100106-6A1329427,2026-06-14T23:14:24.000Z,Major drill programs commencing to advance gold discoveries,2206KB,true,GSN,,"[""Progress Report""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03098425-6A1328767,2026-06-09T05:35:44.000Z,Change of Director's Interest Notice - Amended,803KB,false,GSN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03097365-6A1328359,2026-06-04T06:29:17.000Z,Notification of cessation of securities - GSN,12KB,false,GSN,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03097275-6A1328325,2026-06-04T02:12:55.000Z,Change of Director's Interest Notice,802KB,false,GSN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03097273-6A1328324,2026-06-04T02:11:25.000Z,Change of Director's Interest Notice,1138KB,false,GSN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03097271-6A1328322,2026-06-04T02:10:25.000Z,Change of Director's Interest Notice,803KB,false,GSN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03096690-6A1328120,2026-06-02T23:44:05.000Z,Notification regarding unquoted securities - GSN,17KB,false,GSN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
GSN,204107321,2924-03096672-6A1328112,2026-06-02T23:34:40.000Z,Cleansing Notice,708KB,false,GSN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""GSN""}]","[{""symbol"": ""GSN"", ""xid"": ""30892440"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT SOUTHERN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017543"", ""xidEntity"": 204107321}]","[""GSN"", """"]"
