ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
GT1,666885215,2924-03105670-6A1331623,2026-06-30T06:16:21.000Z,Change of Director's Interest Notices,1084KB,false,GT1,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03103294-6A1330766,2026-06-23T23:36:23.000Z,Cleansing Statement,289KB,false,GT1,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03103289-6A1330763,2026-06-23T23:34:03.000Z,Application for quotation of securities - GT1,15KB,false,GT1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03103282-6A1330758,2026-06-23T23:32:38.000Z,Notification regarding unquoted securities - GT1,21KB,false,GT1,,"[""Appendix 3G""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03103270-6A1330755,2026-06-23T23:24:03.000Z,Notification regarding unquoted securities - GT1,17KB,false,GT1,,"[""Appendix 3G""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03101555-6A1330007,2026-06-18T03:48:15.000Z,Results of Meeting,260KB,false,GT1,,"[""Results of Meeting""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03099244-6A1329099,2026-06-11T00:44:46.000Z,Change in substantial holding,293KB,false,GT1,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03098485-6A1328778,2026-06-09T07:18:49.000Z,Change of Director's Interest Notice x 4,901KB,false,GT1,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03098196-6A1328691,2026-06-08T23:07:36.000Z,Becoming a substantial holder,1004KB,false,GT1,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
GT1,666885215,2924-03096679-6A1328116,2026-06-02T23:38:40.000Z,Application for quotation of securities - GT1,15KB,false,GT1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""GT1""}]","[{""symbol"": ""GT1"", ""xid"": ""681791841"", ""ASXSecurityType"": 1, ""displayName"": ""GREEN TECHNOLOGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000177271"", ""xidEntity"": 666885215}]","[""GT1"", """"]"
