ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
HAR,204107584,2924-03105870-6A1331745,2026-06-30T09:25:22.000Z,Notice under section 708A(5)(e),321KB,false,HAR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03105868-6A1331743,2026-06-30T09:19:27.000Z,Application for quotation of securities - HAR,16KB,false,HAR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03105863-6A1331740,2026-06-30T09:11:52.000Z,Application for quotation of securities - HAR,15KB,false,HAR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03104988-6A1331410,2026-06-29T03:36:16.000Z,Ceasing to be a substantial holder,293KB,false,HAR,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03102659-6A1330476,2026-06-22T22:10:13.000Z,Notification regarding unquoted securities - HAR,15KB,false,HAR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03100856-6A1329716,2026-06-16T09:13:53.000Z,Notification of cessation of securities - HAR,12KB,false,HAR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03098875-6A1328940,2026-06-10T05:49:03.000Z,Final Director's Interest Notice,251KB,false,HAR,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03095111-6A1327505,2026-05-28T23:59:51.000Z,Extensive alteration & pyrite mineralisation intersected,1209KB,true,HAR,,"[""Progress Report""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03094875-6A1327420,2026-05-28T08:03:10.000Z,Notice under section 708A(5)(e),319KB,false,HAR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
HAR,204107584,2924-03094870-6A1327418,2026-05-28T07:57:45.000Z,Application for quotation of securities - HAR,15KB,false,HAR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HAR""}]","[{""symbol"": ""HAR"", ""xid"": ""689299830"", ""ASXSecurityType"": 1, ""displayName"": ""HARANGA RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187247"", ""xidEntity"": 204107584}]","[""HAR"", """"]"
