ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
HLX,204129291,2924-03105785-6A1331679,2026-06-30T08:06:21.000Z,Change of Director's Interest Notice - Povey,284KB,false,HLX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03105779-6A1331676,2026-06-30T08:00:26.000Z,Change of Director's Interest Notice - Prendergast,287KB,false,HLX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03105775-6A1331673,2026-06-30T07:57:56.000Z,Change of Director's Interest Notice - Lynn,281KB,false,HLX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03103418-6A1330811,2026-06-24T03:19:38.000Z,Cleansing Notice,375KB,false,HLX,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03103416-6A1330809,2026-06-24T03:18:43.000Z,Application for quotation of securities - HLX,16KB,false,HLX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03103412-6A1330808,2026-06-24T03:09:03.000Z,Application for quotation of securities - HLX,15KB,false,HLX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03098039-6A1328599,2026-06-08T22:24:21.000Z,Comments on Gold Basin - CANEX Arrangement Process,348KB,true,HLX,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03098030-6A1328591,2026-06-08T22:21:16.000Z,Constitution,635KB,false,HLX,,"[""Constitution""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03098029-6A1328590,2026-06-08T22:21:06.000Z,Becoming a substantial holder,252KB,false,HLX,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03096987-6A1328243,2026-06-03T22:18:24.000Z,Updated Mineral Resource Estimate at Gold Basin,1553KB,true,HLX,,"[""Progress Report""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03093360-6A1326801,2026-05-25T03:46:30.000Z,Results of Meeting,176KB,false,HLX,,"[""Results of Meeting""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03093105-6A1326687,2026-05-24T22:16:08.000Z,Application for quotation of securities - HLX,15KB,false,HLX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03093104-6A1326686,2026-05-24T22:16:03.000Z,Application for quotation of securities - HLX,15KB,false,HLX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03093101-6A1326688,2026-05-24T22:15:53.000Z,Issue of shares and cleansing notice,377KB,false,HLX,,"[""Issued Capital - Other"", ""Cleansing Notice""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03092646-6A1326512,2026-05-21T22:17:24.000Z,Acquires Interest in Weerianna Gold Lithium Project,5795KB,true,HLX,,"[""Progress Report""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03092644-6A1326511,2026-05-21T22:17:09.000Z,Proposed issue of securities - HLX,14KB,false,HLX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
HLX,204129291,2924-03091066-6A1325902,2026-05-18T02:25:43.000Z,Proposed issue of securities - HLX,15KB,false,HLX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""HLX""}]","[{""symbol"": ""HLX"", ""xid"": ""147577"", ""ASXSecurityType"": 1, ""displayName"": ""HELIX RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HLX7"", ""xidEntity"": 204129291}]","[""HLX"", """"]"
