ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
HTG,589522021,2924-03101251-6A1329866,2026-06-17T07:55:42.000Z,Proposed issue of securities - HTG,15KB,false,HTG,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03100946-6A1329752,2026-06-16T22:40:38.000Z,Harvest Strengthens International Execution Plan Capability,162KB,true,HTG,,"[""Progress Report""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03100706-6A1329650,2026-06-16T03:49:21.000Z,Proposed issue of securities - HTG,17KB,false,HTG,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03100649-6A1329635,2026-06-16T01:01:55.000Z,Notice of General Meeting/Proxy Form,686KB,false,HTG,,"[""Web Cast"", ""Proxy Form"", ""Notice of General Meeting"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03096711-6A1328129,2026-06-02T23:54:45.000Z,Secondary Trading Notice,159KB,false,HTG,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03096706-6A1328127,2026-06-02T23:49:50.000Z,Application for quotation of securities - HTG,15KB,false,HTG,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03096701-6A1328125,2026-06-02T23:47:35.000Z,Application for quotation of securities - HTG,15KB,false,HTG,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03095620-6A1327721,2026-05-31T22:39:01.000Z,Appointment of CEO,191KB,true,HTG,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03094101-6A1327092,2026-05-26T23:18:52.000Z,Investor Presentation,3786KB,false,HTG,,"[""Company Presentation""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
HTG,589522021,2924-03094087-6A1327084,2026-05-26T23:12:17.000Z,Proposed issue of securities - HTG,19KB,false,HTG,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""HTG""}]","[{""symbol"": ""HTG"", ""xid"": ""792496910"", ""ASXSecurityType"": 1, ""displayName"": ""HARVEST TECHNOLOGY GROUP LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000082422"", ""xidEntity"": 589522021}]","[""HTG"", """"]"
