ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
HUB,204227026,2924-03103338-2A1678953,2026-06-24T00:52:08.000Z,Director Appointment,114KB,false,HUB,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""HUB""}]","[{""symbol"": ""HUB"", ""xid"": ""7884268"", ""ASXSecurityType"": 1, ""displayName"": ""HUB24 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HUB4"", ""xidEntity"": 204227026}]","[""HUB"", """"]"
HUB,204227026,2924-03102147-2A1678336,2026-06-19T08:32:41.000Z,Ceasing to be a substantial holder from HUB,396KB,false,GBL,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""GBL""}, {""symbolDisplay"": ""HUB""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""GBL"", ""HUB"", """"]"
HUB,204227026,2924-03099895-2A1677252,2026-06-12T07:47:27.000Z,Change in substantial holding from HUB,560KB,false,WMA,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""WMA""}, {""symbolDisplay"": ""HUB""}]","[{""symbol"": ""WMA"", ""xid"": ""75736395"", ""ASXSecurityType"": 1, ""displayName"": ""WAM ALTERNATIVE ASSETS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000110827"", ""xidEntity"": 234879610}]","[""WMA"", ""HUB"", """"]"
HUB,204227026,2924-03098691-2A1676670,2026-06-09T23:07:56.000Z,Becoming a substantial holder,197KB,false,HUB,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""HUB""}]","[{""symbol"": ""HUB"", ""xid"": ""7884268"", ""ASXSecurityType"": 1, ""displayName"": ""HUB24 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HUB4"", ""xidEntity"": 204227026}]","[""HUB"", """"]"
HUB,204227026,2924-03098352-2A1676491,2026-06-09T01:45:07.000Z,Becoming a substantial holder,786KB,false,HUB,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""HUB""}]","[{""symbol"": ""HUB"", ""xid"": ""7884268"", ""ASXSecurityType"": 1, ""displayName"": ""HUB24 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HUB4"", ""xidEntity"": 204227026}]","[""HUB"", """"]"
HUB,204227026,2924-03095298-2A1674600,2026-05-29T05:32:43.000Z,Change in substantial holding from HUB,582KB,false,MRE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""MRE""}, {""symbolDisplay"": ""HUB""}]","[{""symbol"": ""MRE"", ""xid"": ""930363176"", ""ASXSecurityType"": 6, ""displayName"": ""METRICS REAL ESTATE MULTI-STRATEGY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000352791"", ""xidEntity"": 930369337}]","[""MRE"", ""HUB"", """"]"
HUB,204227026,2924-03095281-3A694310,2026-05-29T05:17:23.000Z,Becoming a substantial holder from HUB,555KB,false,IOD,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""IOD""}, {""symbolDisplay"": ""HUB""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""IOD"", ""HUB"", """"]"
HUB,204227026,2924-03095280-2A1674587,2026-05-29T05:14:53.000Z,Becoming a substantial holder from HUB,552KB,false,EGY,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""EGY""}, {""symbolDisplay"": ""HUB""}]","[{""symbol"": ""EGY"", ""xid"": ""93673"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EGY2"", ""xidEntity"": 204205213, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Electrical Components & Equipment""}]","[""EGY"", ""HUB"", """"]"
HUB,204227026,2924-03095273-2A1674581,2026-05-29T05:06:58.000Z,Becoming a substantial holder from HUB,555KB,false,HCD,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""HCD""}, {""symbolDisplay"": ""HUB""}]","[{""symbol"": ""GBL"", ""xid"": ""4559880"", ""ASXSecurityType"": 1, ""displayName"": ""GREAT BEAR EXPLORATION LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000474363"", ""xidEntity"": 204146154, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""HCD"", ""HUB"", """"]"
HUB,204227026,2924-03095220-2A1674561,2026-05-29T03:41:47.000Z,Becoming a substantial holder from CBA,1245KB,false,HUB,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""HUB""}, {""symbolDisplay"": ""CBA""}]","[{""symbol"": ""HUB"", ""xid"": ""7884268"", ""ASXSecurityType"": 1, ""displayName"": ""HUB24 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000HUB4"", ""xidEntity"": 204227026}]","[""HUB"", ""CBA"", """"]"
