ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
HUM,204219323,2924-03105495-2A1680643,2026-06-30T01:06:35.000Z,Update on TAG Board Nominee,122KB,false,HUM,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""HUM""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", """"]"
HUM,204219323,2924-03105095_PS-2A1680139,2026-06-29T06:49:37.000Z,TOV: HUM - Costs Orders,205KB,true,HUM,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""HUM""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", """"]"
HUM,204219323,2924-03104931-2A1680060,2026-06-29T00:15:01.000Z,Outcome of ASIC investigations,131KB,false,HUM,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""HUM""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", """"]"
HUM,204219323,2924-03102345-2A1678413,2026-06-21T23:10:45.000Z,Conclusion of Discussions with Credit Corp,126KB,true,HUM,,"[""Withdrawal of Offer""]","[{""symbolDisplay"": ""HUM""}, {""symbolDisplay"": ""CCP""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", ""CCP"", """"]"
HUM,204219323,2924-03102269-2A1678377,2026-06-21T22:22:55.000Z,Conclusion - non-binding indicative proposal to acquire Humm,127KB,true,CCP,,"[""Withdrawal of Offer"", ""Takeover - Timer Applied""]","[{""symbolDisplay"": ""CCP""}, {""symbolDisplay"": ""HUM""}]","[{""symbol"": ""CCP"", ""xid"": ""71701"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CORP GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CCP3"", ""xidEntity"": 204175801, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Consumer Finance"", ""subIndustry"": ""Consumer Finance""}]","[""CCP"", ""HUM"", """"]"
HUM,204219323,2924-03102069_PS-2A1678302,2026-06-19T06:48:36.000Z,TOV:HUM-Reason Panel didn't consent to Undertaking variation,207KB,true,HUM,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""HUM""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", """"]"
HUM,204219323,2924-03100201-2A1677393,2026-06-15T00:07:44.000Z,IBC Chair Update,121KB,false,HUM,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""HUM""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", """"]"
HUM,204219323,2924-03097329-2A1675776,2026-06-04T04:22:51.000Z,Securities Trading Policy,415KB,false,HUM,,"[""Trading Policy""]","[{""symbolDisplay"": ""HUM""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", """"]"
HUM,204219323,2924-03090934-2A1672431,2026-05-17T23:25:42.000Z,3Q26 update,226KB,true,HUM,,"[""Trading Update"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""HUM""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", """"]"
HUM,204219323,2924-03090173-2A1672112,2026-05-14T05:15:54.000Z,Initial Directors' Interest Notices,252KB,false,HUM,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""HUM""}]","[{""symbol"": ""HUM"", ""xid"": ""6133401"", ""ASXSecurityType"": 1, ""displayName"": ""HUMM GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000121337"", ""xidEntity"": 204219323}]","[""HUM"", """"]"
