ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
HVY,672129630,2924-03105859-6A1331736,2026-06-30T09:10:22.000Z,Notification regarding unquoted securities - HVY,25KB,false,HVY,,"[""Appendix 3G""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03105703-6A1331640,2026-06-30T06:51:26.000Z,Proposed issue of securities - HVY,20KB,false,HVY,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03085250-6A1323507,2026-04-30T09:01:29.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1328KB,true,HVY,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03080130-6A1321000,2026-04-17T08:44:20.000Z,s708A Notice,387KB,false,HVY,,"[""Issued Capital - Other"", ""Cleansing Notice""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03080129-6A1320999,2026-04-17T08:44:15.000Z,Application for quotation of securities - HVY,19KB,false,HVY,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03080128-6A1320998,2026-04-17T08:44:10.000Z,Notification regarding unquoted securities - HVY,34KB,false,HVY,,"[""Appendix 3G""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03079877-6A1320880,2026-04-17T00:15:52.000Z,Proposed issue of securities - HVY,29KB,false,HVY,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03076072-6A1319486,2026-04-07T06:04:52.000Z,Notification of cessation of securities - HVY,13KB,false,HVY,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03070687-6A1317330,2026-03-20T05:46:38.000Z,s708A Notice,387KB,false,HVY,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
HVY,672129630,2924-03070684-6A1317328,2026-03-20T05:45:23.000Z,Application for quotation of securities - HVY,17KB,false,HVY,,"[""Appendix 2A""]","[{""symbolDisplay"": ""HVY""}]","[{""symbol"": ""HVY"", ""xid"": ""673235606"", ""ASXSecurityType"": 1, ""displayName"": ""HEAVY MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168668"", ""xidEntity"": 672129630}]","[""HVY"", """"]"
