ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
IBR,204120944,2924-03104279-6A1331134,2026-06-25T23:56:22.000Z,Proposed issue of securities - IBR,14KB,false,IBR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03104278-6A1331133,2026-06-25T23:56:07.000Z,Appointment of Non-Executive Chairman,179KB,false,IBR,,"[""Chair Appointment/Resignation""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03104260-6A1331128,2026-06-25T23:43:07.000Z,Notification regarding unquoted securities - IBR,16KB,false,IBR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03103295-6A1330760,2026-06-23T23:36:48.000Z,Vale Provides Further Funding to Advance Project Iron Bear,84KB,true,IBR,,"[""Progress Report""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03101298-6A1329891,2026-06-17T09:32:08.000Z,Additional Information to Corporate Presentation,47KB,false,IBR,,"[""Company Presentation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03100987-6A1329765,2026-06-16T23:10:34.000Z,Corporate Presentation,4537KB,true,IBR,,"[""Company Presentation""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03096508-6A1328045,2026-06-02T22:17:05.000Z,Application for Project of National Significance,189KB,true,IBR,,"[""Progress Report""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03089142-6A1325100,2026-05-11T23:52:09.000Z,Indicated Mineral Resource increased to 4.5BT @ 29% Fe,2016KB,true,IBR,,"[""Progress Report""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03087156-6A1324326,2026-05-05T23:49:11.000Z,Corporate Presentation,4447KB,false,IBR,,"[""Company Presentation""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03085301-6A1323527,2026-04-30T22:18:39.000Z,Change of Company Secretary,48KB,false,IBR,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03084939-6A1323323,2026-04-30T04:54:43.000Z,Quarterly Activities Report and Appendix 5B,2306KB,true,IBR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
IBR,204120944,2924-03084893-6A1323301,2026-04-30T04:20:47.000Z,Iron Bear Project Pre-Feasibility Optimisation Studies,69KB,false,IBR,,"[""Progress Report""]","[{""symbolDisplay"": ""IBR""}]","[{""symbol"": ""IBR"", ""xid"": ""164566"", ""ASXSecurityType"": 1, ""displayName"": ""IRON BEAR RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000453557"", ""xidEntity"": 204120944}]","[""IBR"", """"]"
