ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
IBX,414956213,2924-03103931-3A695978,2026-06-25T04:47:18.000Z,Notification regarding unquoted securities - IBX,23KB,false,IBX,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03103920-3A695977,2026-06-25T04:18:08.000Z,Update - Proposed issue of securities - IBX,16KB,false,IBX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03103764-3A695955,2026-06-24T23:29:32.000Z,Proposed issue of securities - IBX,16KB,false,IBX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03103763-3A695954,2026-06-24T23:29:17.000Z,Proposed issue of securities - IBX,16KB,false,IBX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03103762-3A695952,2026-06-24T23:29:07.000Z,Proposed issue of securities - IBX,15KB,false,IBX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03103760-3A695941,2026-06-24T23:28:52.000Z,IBX Secures Firm Commitments for $3.75m for Clinical Trial,205KB,true,IBX,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03102850-3A695789,2026-06-22T23:33:09.000Z,Trading Halt,181KB,true,IBX,,"[""Trading Halt""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03099790-3A695234,2026-06-12T05:31:27.000Z,Notification of cessation of securities - IBX,13KB,false,IBX,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03096140-3A694516,2026-06-01T23:05:06.000Z,Imagion Biosystems Receives IND Clearance from US FDA,210KB,true,IBX,,"[""Progress Report""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
IBX,414956213,2924-03094770-3A694217,2026-05-28T05:00:44.000Z,Notification of cessation of securities - IBX,14KB,false,IBX,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""IBX""}]","[{""symbol"": ""IBX"", ""xid"": ""847536389"", ""ASXSecurityType"": 1, ""displayName"": ""IMAGION BIOSYSTEMS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IBX6"", ""xidEntity"": 414956213}]","[""IBX"", """"]"
