ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
IDA,204116917,2924-03103528-6A1330843,2026-06-24T07:30:09.000Z,Company Well Drilling Program Update,217KB,false,IDA,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03100840-6A1329705,2026-06-16T08:46:48.000Z,Change of Director's Interest Notice - Update,300KB,false,IDA,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03100441-6A1329559,2026-06-15T22:17:44.000Z,Drilling Update,216KB,false,IDA,,"[""Progress Report""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03100265-6A1329487,2026-06-15T03:56:21.000Z,Change of Director's Interest Notice,244KB,false,IDA,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03098983-6A1328990,2026-06-10T22:19:10.000Z,Priority Gold Target Identified At Ealbara,1353KB,true,IDA,,"[""Progress Report""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03096961-6A1328233,2026-06-03T09:21:04.000Z,Notification regarding unquoted securities - IDA,18KB,false,IDA,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03096521-6A1328057,2026-06-02T22:18:45.000Z,Heavy Minerals Prospectivity at Carne Titanium Prospect,1071KB,false,IDA,,"[""Progress Report""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03095284-6A1327580,2026-05-29T05:21:28.000Z,Company Secretary Appointment/Resignation,1215KB,false,IDA,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03093395-6A1326811,2026-05-25T05:35:26.000Z,Unmarketable Parcel Sale Facility,524KB,false,IDA,,"[""Issued Capital - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
IDA,204116917,2924-03092160-6A1326331,2026-05-20T08:31:04.000Z,Notification of cessation of securities - IDA,15KB,false,IDA,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""IDA""}]","[{""symbol"": ""IDA"", ""xid"": ""136598"", ""ASXSecurityType"": 1, ""displayName"": ""INDIANA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDA0"", ""xidEntity"": 204116917, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""IDA"", """"]"
