ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
IG6,688486645,2924-03104985-6A1331407,2026-06-29T03:15:11.000Z,Cleansing Notice,269KB,false,IG6,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03104984-6A1331406,2026-06-29T03:11:36.000Z,Application for quotation of securities - IG6,15KB,false,IG6,,"[""Appendix 2A""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03104723-6A1331323,2026-06-28T22:26:11.000Z,Construction contract signed for Collie Micronising Facility,361KB,true,IG6,,"[""Progress Report""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03103689-6A1330911,2026-06-24T22:39:27.000Z,Agreement to secure product sales & feedstock,153KB,true,IG6,,"[""Progress Report""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03101890-6A1330140,2026-06-19T00:18:33.000Z,Proposed issue of securities - IG6,19KB,false,IG6,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03101889-6A1330131,2026-06-19T00:18:23.000Z,Proposed issue of securities - IG6,15KB,false,IG6,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03101888-6A1330102,2026-06-19T00:18:13.000Z,Successful Placement Accelerates Operations,187KB,true,IG6,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03101018-6A1329774,2026-06-16T23:30:54.000Z,JV Technical & Financial Evaluation,4051KB,true,IG6,,"[""Progress Report""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03100991-6A1329768,2026-06-16T23:12:59.000Z,Trading Halt,330KB,true,IG6,,"[""Trading Halt""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
IG6,688486645,2924-03094438-6A1327236,2026-05-27T22:17:26.000Z,Collie earthworks & civil construction to commence,532KB,true,IG6,,"[""Progress Report""]","[{""symbolDisplay"": ""IG6""}]","[{""symbol"": ""IG6"", ""xid"": ""710467349"", ""ASXSecurityType"": 1, ""displayName"": ""INTERNATIONAL GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000210957"", ""xidEntity"": 688486645}]","[""IG6"", """"]"
