ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
IOD,204123221,2924-03102343-3A695704,2026-06-21T23:10:30.000Z,Europe Education Update,225KB,true,IOD,,"[""Progress Report""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03095281-3A694310,2026-05-29T05:17:23.000Z,Becoming a substantial holder from HUB,555KB,false,IOD,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""IOD""}, {""symbolDisplay"": ""HUB""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", ""HUB"", """"]"
IOD,204123221,2924-03084917-3A692370,2026-04-30T04:36:48.000Z,IODM Shaw & Partners TechRise Conference Presentation,789KB,false,IOD,,"[""Company Presentation""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03084908-3A692363,2026-04-30T04:32:13.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,408KB,true,IOD,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03078586-3A691306,2026-04-14T04:45:58.000Z,Notification regarding unquoted securities - IOD,14KB,false,IOD,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03078584-3A691305,2026-04-14T04:36:23.000Z,Notification regarding unquoted securities - IOD,18KB,false,IOD,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03077492-3A691102,2026-04-09T23:41:36.000Z,Proposed issue of securities - IOD,13KB,false,IOD,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03077484-3A691098,2026-04-09T23:32:56.000Z,Proposed issue of securities - IOD,16KB,false,IOD,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03076968-3A691025,2026-04-08T23:37:37.000Z,IODM secures software platform deal for portfolio of US unis,216KB,true,IOD,,"[""Progress Report""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03076960-3A691021,2026-04-08T23:33:27.000Z,Renewed terms for Convera (UK) Commercial Agreement,226KB,true,IOD,,"[""Progress Report""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03062456-3A688344,2026-02-26T22:15:37.000Z,IODM 1H26 Results Announcement,302KB,false,IOD,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03062432-3A688327,2026-02-26T22:08:22.000Z,Half Yearly Report and Accounts,1693KB,true,IOD,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
IOD,204123221,2924-03055220-3A686873,2026-02-10T22:09:55.000Z,Notification regarding unquoted securities - IOD,15KB,false,IOD,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IOD""}]","[{""symbol"": ""IOD"", ""xid"": ""226952"", ""ASXSecurityType"": 1, ""displayName"": ""IODM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IOD1"", ""xidEntity"": 204123221}]","[""IOD"", """"]"
