ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
IPT,204157295,2924-03098928-6A1328966,2026-06-10T07:40:09.000Z,Appendix 3X,170KB,false,IPT,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03098593-6A1328844,2026-06-09T22:22:00.000Z,Phase 2 Drilling to start in July at Commonwealth,1419KB,true,IPT,,"[""Progress Report""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03098214-6A1328696,2026-06-08T23:16:51.000Z,Impact appoints experienced Chair to lead Company,487KB,false,IPT,,"[""Chair Appointment/Resignation""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03093552-6A1326873,2026-05-25T22:21:13.000Z,High-Grade Gold & Silver at Commonwealth-Silica Hill,2057KB,false,IPT,,"[""Progress Report""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03090692-6A1325729,2026-05-15T08:39:35.000Z,Cleansing Statement,428KB,false,IPT,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03090691-6A1325727,2026-05-15T08:37:35.000Z,Application for quotation of securities - IPT,15KB,false,IPT,,"[""Appendix 2A""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03086628-6A1324078,2026-05-04T23:50:32.000Z,New Discovery at Silica Hill,2134KB,true,IPT,,"[""Progress Report""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03084681-6A1323194,2026-04-30T00:33:41.000Z,Quarterly Activities Report,1491KB,true,IPT,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03084676-6A1323192,2026-04-30T00:29:31.000Z,Quarterly Cashflow Report,219KB,true,IPT,,"[""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
IPT,204157295,2924-03081152-6A1321431,2026-04-21T22:55:03.000Z,High Grade Massive Sulphide Results Confirmed- Commonwealth,2042KB,true,IPT,,"[""Progress Report""]","[{""symbolDisplay"": ""IPT""}]","[{""symbol"": ""IPT"", ""xid"": ""5937552"", ""ASXSecurityType"": 1, ""displayName"": ""IMPACT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPT4"", ""xidEntity"": 204157295}]","[""IPT"", """"]"
