ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ITS,204109808,2924-03096417-3A694576,2026-06-02T07:06:44.000Z,Change in substantial holding,4654KB,false,ITS,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03096349-3A694564,2026-06-02T05:16:43.000Z,Notification of cessation of securities - ITS,12KB,false,ITS,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03096219-3A694536,2026-06-01T23:55:16.000Z,Change of Director's Interest Notice - SK,268KB,false,ITS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03096122-3A694511,2026-06-01T22:50:16.000Z,Change of Director's Interest Notice,264KB,false,ITS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03092963-3A693864,2026-05-22T06:58:53.000Z,Change of Director's Interest Notice,285KB,false,ITS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03092921-3A693856,2026-05-22T06:06:57.000Z,Initial Director's Interest Notice - PT,153KB,false,ITS,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03092913-3A693853,2026-05-22T05:53:52.000Z,Final Director's Interest Notice - JC,207KB,false,ITS,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03092911-3A693852,2026-05-22T05:48:37.000Z,Notification of cessation of securities - ITS,13KB,false,ITS,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03090797-3A693443,2026-05-17T22:25:46.000Z,Strategic Update and Appointment of Chief Executive Officer,179KB,true,ITS,,"[""CEO/Managing Director - Appointment Resignation"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
ITS,204109808,2924-03079980-3A691572,2026-04-17T04:36:14.000Z,Section 708A Cleansing Statement,138KB,false,ITS,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ITS""}]","[{""symbol"": ""ITS"", ""xid"": ""270335"", ""ASXSecurityType"": 1, ""displayName"": ""INFOTRUST LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000431462"", ""xidEntity"": 204109808, ""subIndustry"": ""IT Consulting & Other Services""}]","[""ITS"", """"]"
