ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
IVG,204208291,2924-03104447-2A1679809,2026-06-26T05:10:38.000Z,Change of Auditor,149KB,false,IVG,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03104445-2A1679807,2026-06-26T05:08:53.000Z,Change of Director's Interest Notice x 5,223KB,false,IVG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03104442-2A1679806,2026-06-26T04:59:28.000Z,Notification regarding unquoted securities - IVG,19KB,false,IVG,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03101456-2A1677991,2026-06-17T23:33:14.000Z,Company Presentation,3682KB,false,IVG,,"[""Company Presentation""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03101455-2A1677987,2026-06-17T23:33:04.000Z,Proposed issue of securities - IVG,33KB,false,IVG,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03101454-2A1677984,2026-06-17T23:32:49.000Z,InVert to Acquire RapidPulse Graphite Processing Technology,4903KB,true,IVG,,"[""Placement"", ""Asset Acquisition"", ""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03100639-2A1677598,2026-06-16T00:24:50.000Z,Trading Halt,390KB,true,IVG,,"[""Trading Halt""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03100618-2A1677589,2026-06-15T23:50:25.000Z,Pause in Trading,111KB,true,IVG,,"[""Notice Pending""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03097763-2A1676109,2026-06-05T04:07:20.000Z,Application for quotation of securities - IVG,14KB,false,IVG,,"[""Appendix 2A""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03094826-2A1674350,2026-05-28T06:42:04.000Z,Results of Annual General Meeting,151KB,false,IVG,,"[""Results of Meeting""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03092908-2A1673390,2026-05-22T05:38:22.000Z,Release of Restricted Securities,143KB,false,IVG,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03087155-2A1670419,2026-05-05T23:48:51.000Z,Company Presentation,4094KB,false,IVG,,"[""Company Presentation""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03082235-2A1668134,2026-04-24T00:58:01.000Z,Notice of Annual General Meeting/Proxy Form,730KB,false,IVG,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03081744-2A1667909,2026-04-22T23:56:47.000Z,Quarterly Activities Report and Cash Flow Report,4980KB,true,IVG,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03074796-2A1663857,2026-04-01T04:30:40.000Z,Date of Annual General Meeting,145KB,false,IVG,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03073090-2A1662904,2026-03-27T06:18:35.000Z,Appendix 4G and Corporate Governance Statement,397KB,false,IVG,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03073079-2A1662899,2026-03-27T06:11:30.000Z,Annual Report to shareholders,3597KB,false,IVG,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03057256-2A1653915,2026-02-16T22:27:44.000Z,Company Presentation,4165KB,false,IVG,,"[""Company Presentation""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03055212-2A1653007,2026-02-10T22:07:20.000Z,Drilling Confirms High-Grade Graphite at Kumba,4809KB,true,IVG,,"[""Progress Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03049037-2A1649736,2026-01-26T22:29:03.000Z,Kumba Drilling Delivers Further High-Grade Graphite,2079KB,true,IVG,,"[""Progress Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03048159-2A1649214,2026-01-21T22:38:30.000Z,Quarterly Activities Report and Cash Flow Report,8745KB,true,IVG,,"[""Fourth Quarter Activities Report"", ""Fourth Quarter Cash Flow Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03043039-2A1646124,2026-01-02T07:39:18.000Z,Change of Director's Interest Notice x 5,210KB,false,IVG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03043033-2A1646119,2026-01-02T07:09:58.000Z,Notification of cessation of securities - IVG,14KB,false,IVG,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03023985-2A1636578,2025-11-17T04:32:27.000Z,Change of Director's Interest Notice x 2,245KB,false,IVG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03023176-2A1636209,2025-11-13T23:08:31.000Z,Consistent High-Grade Graphite in Kumba Drilling,9916KB,true,IVG,,"[""Progress Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03015397-2A1632255,2025-10-28T22:28:18.000Z,Quarterly Activities Report and Cash Flow Report,8962KB,true,IVG,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-03007260-2A1628931,2025-10-13T07:23:33.000Z,Notification of cessation of securities - IVG,12KB,false,IVG,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-02996390-2A1622975,2025-09-22T03:04:30.000Z,Company Presentation,3950KB,false,IVG,,"[""Company Presentation""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-02995778-2A1622702,2025-09-19T06:25:43.000Z,Notification regarding unquoted securities - IVG,19KB,false,IVG,,"[""Appendix 3G""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-02995726-2A1622703,2025-09-19T05:34:58.000Z,Initial Director's Interest Notice,79KB,false,IVG,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-02995486-2A1622592,2025-09-18T23:11:46.000Z,Managing Director Appointment,486KB,true,IVG,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-02994375-2A1622019,2025-09-16T23:09:19.000Z,Maiden Drilling Program Commenced at Kumba,4528KB,true,IVG,,"[""Progress Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-02992486-2A1621159,2025-09-11T22:18:32.000Z,Half Year Accounts,1406KB,false,IVG,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
IVG,204208291,2924-02974590-2A1611466,2025-08-03T23:09:41.000Z,Consistent High-Grade Graphite Demonstrated Over 2km Strike,6803KB,true,IVG,,"[""Progress Report""]","[{""symbolDisplay"": ""IVG""}]","[{""symbol"": ""IVG"", ""xid"": ""681419315"", ""ASXSecurityType"": 1, ""displayName"": ""INVERT GRAPHITE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000378903"", ""xidEntity"": 204208291}]","[""IVG"", """"]"
