ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
JAN,204287798,2924-03097267-2A1675625,2026-06-04T02:01:35.000Z,Final Director's Interest Notice - S Wilks,727KB,false,JAN,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03097122-2A1675549,2026-06-03T23:02:24.000Z,Resignation of Director,108KB,false,JAN,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03096157-2A1675032,2026-06-01T23:14:16.000Z,Investor Update - FY26 Major Program Deliveries Completed,5455KB,true,JAN,,"[""Company Presentation""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03079647-2A1666934,2026-04-16T07:57:06.000Z,Update on NAPLAN and CA ANZ tests,147KB,false,JAN,,"[""Progress Report""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03078482-2A1666355,2026-04-14T00:13:36.000Z,Change in substantial holding from RYD,328KB,false,JAN,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03068037-2A1660122,2026-03-13T03:34:39.000Z,Update regarding recent media coverage,94KB,false,JAN,,"[""Response to Media/Press Report/Speculation""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03066621-2A1659401,2026-03-10T05:56:02.000Z,Ceasing to be a substantial holder,116KB,false,JAN,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03059985-2A1655306,2026-02-23T21:22:35.000Z,1H FY26 Results - Investor Presentation,1302KB,true,JAN,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03059981-2A1655300,2026-02-23T21:21:40.000Z,1H FY26 Results and Investor Update,204KB,true,JAN,,"[""Web Cast"", ""Half Yearly Report""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
JAN,204287798,2924-03059970-2A1655297,2026-02-23T21:19:00.000Z,Appendix 4D and Half-Year Report,542KB,true,JAN,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""JAN""}]","[{""symbol"": ""JAN"", ""xid"": ""146944"", ""ASXSecurityType"": 1, ""displayName"": ""JANISON EDUCATION GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JAN7"", ""xidEntity"": 204287798, ""subIndustry"": ""Application Software""}]","[""JAN"", """"]"
