ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
JCS,204126543,2924-03105726-2A1680805,2026-06-30T07:11:36.000Z,Notification of cessation of securities - JCS,12KB,false,JCS,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03083566-2A1668659,2026-04-28T22:38:42.000Z,Q3FY26 Investor Update,1875KB,true,JCS,,"[""Company Presentation""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03078350-2A1666280,2026-04-13T22:31:56.000Z,Q3FY26 Investor Update Conference Call,84KB,false,JCS,,"[""Web Cast""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03076595-2A1665063,2026-04-08T05:03:55.000Z,Notification of cessation of securities - JCS,12KB,false,JCS,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03059492-2A1655044,2026-02-22T22:35:47.000Z,Appendix 4D and Half Year Accounts for period end 31 Dec 25,709KB,true,JCS,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03053158-2A1651676,2026-02-04T21:21:15.000Z,Q2FY26 Investor Update,1247KB,true,JCS,,"[""Company Presentation""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03053156-2A1651674,2026-02-04T21:20:55.000Z,Business Update 1HFY26,131KB,true,JCS,,"[""Trading Update""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03046503-2A1648492,2026-01-15T06:01:15.000Z,Q2FY26 Investor Update Conference Call,249KB,false,JCS,,"[""Web Cast""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03026886-2A1637903,2025-11-23T21:49:24.000Z,Change to Jcurve ERP Revenue Recognition Policy,98KB,true,JCS,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
JCS,204126543,2924-03025724-2A1637413,2025-11-20T01:25:21.000Z,Results of Meeting,215KB,false,JCS,,"[""Results of Meeting""]","[{""symbolDisplay"": ""JCS""}]","[{""symbol"": ""JCS"", ""xid"": ""260792"", ""ASXSecurityType"": 1, ""displayName"": ""JCURVE SOLUTIONS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000JCS2"", ""xidEntity"": 204126543}]","[""JCS"", """"]"
