ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
JDO,686350463,2924-03105133-2A1680161,2026-06-29T07:20:47.000Z,Becoming a substantial holder,290KB,false,JDO,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
JDO,686350463,2924-03105077-2A1680132,2026-06-29T06:36:52.000Z,Becoming a substantial holder from AMP,392KB,false,JDO,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""JDO""}, {""symbolDisplay"": ""AMP""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", ""AMP"", """"]"
JDO,686350463,2924-03103648-2A1679260,2026-06-24T22:18:07.000Z,Judo update on asset quality and trading performance,409KB,true,JDO,,"[""Profit Guidance"", ""Notification of Results/Reporting Date"", ""Trading Update""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
JDO,686350463,2924-03096756-2A1675359,2026-06-03T01:00:26.000Z,Ceasing to be a substantial holder,214KB,false,JDO,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
JDO,686350463,2924-03094970-2A1674424,2026-05-28T22:22:00.000Z,Judo executes capital-relief securitisation transaction,400KB,true,JDO,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
JDO,686350463,2924-03091671-2A1672803,2026-05-19T08:55:06.000Z,Change in substantial holding,404KB,false,JDO,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
JDO,686350463,2924-03091537-2A1672729,2026-05-19T04:23:24.000Z,Dividend/Distribution - JDOPA,16KB,false,JDO,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
JDO,686350463,2924-03086661-2A1670047,2026-05-05T01:00:58.000Z,Judo presentation Macquarie Australia Conference,1029KB,true,JDO,,"[""Company Presentation""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
JDO,686350463,2924-03082003-2A1668033,2026-04-23T22:14:10.000Z,"Judo update on financial performance, asset quality and FY26",400KB,true,JDO,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
JDO,686350463,2924-03079100-2A1666671,2026-04-15T05:09:47.000Z,Notification regarding unquoted securities - JDO,15KB,false,JDO,,"[""Appendix 3G""]","[{""symbolDisplay"": ""JDO""}]","[{""symbol"": ""JDO"", ""xid"": ""686309643"", ""ASXSecurityType"": 1, ""displayName"": ""JUDO CAPITAL HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000182271""}]","[""JDO"", """"]"
