ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
KKC,556163906,2924-03105481-2A1680633,2026-06-30T00:38:25.000Z,Dividend/Distribution - KKC,16KB,false,KKC,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03104890-2A1680035,2026-06-28T23:44:46.000Z,Distribution Guidance for FY2027,238KB,false,KKC,,"[""Dividend - Other""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03104813-2A1679989,2026-06-28T23:11:01.000Z,Net Tangible Asset Backing,311KB,false,KKC,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03103876-2A1679382,2026-06-25T01:59:48.000Z,Net Tangible Asset Backing,311KB,false,KKC,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03103391-2A1678975,2026-06-24T02:22:53.000Z,Monthly Investment Update As of 31 May 2026,342KB,false,KKC,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03102806-2A1678703,2026-06-22T23:05:14.000Z,Net Tangible Asset Backing,311KB,false,KKC,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03102435-2A1678458,2026-06-22T00:08:10.000Z,Update - Dividend/Distribution - KKC,16KB,false,KKC,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03101419-2A1677998,2026-06-17T23:04:13.000Z,Net Tangible Asset Backing,311KB,false,KKC,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03100081-2A1677341,2026-06-14T23:05:04.000Z,Net Tangible Asset Backing,311KB,false,KKC,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
KKC,556163906,2924-03099180-2A1676913,2026-06-10T23:36:45.000Z,Monthly Net Tangible Asset Backing 31 May 2026,100KB,false,KKC,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""KKC""}]","[{""symbol"": ""KKC"", ""xid"": ""563128495"", ""ASXSecurityType"": 6, ""displayName"": ""KKR CREDIT INCOME FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000060014"", ""xidEntity"": 556163906}]","[""KKC"", """"]"
