ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
KLS,234235984,2924-03096031-2A1674981,2026-06-01T22:22:21.000Z,Sydney Region 6 Contract Extension Signed,264KB,true,KLS,,"[""Progress Report""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03087505-2A1670736,2026-05-06T22:22:55.000Z,Macquarie Conference Presentation 2026,1638KB,false,KLS,,"[""Company Presentation""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03082695-2A1668337,2026-04-27T00:39:34.000Z,Change of Director's Interest Notice (Grady),288KB,false,KLS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03082692-2A1668336,2026-04-27T00:38:09.000Z,Change of Director's Interest Notice (McArthur),290KB,false,KLS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03080424-2A1667306,2026-04-20T01:46:05.000Z,Application for quotation of securities - KLS,14KB,false,KLS,,"[""Appendix 2A""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03077552-2A1665740,2026-04-10T01:15:01.000Z,Update - Dividend/Distribution - KLS,17KB,false,KLS,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03075619-2A1664452,2026-04-02T08:00:10.000Z,Award Liverpool Contracts,287KB,true,KLS,,"[""Progress Report""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03070191-2A1661313,2026-03-19T05:13:33.000Z,Change in substantial holding,161KB,false,KLS,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03063518-2A1657285,2026-03-02T01:39:36.000Z,Final Director's Interest Notice (Smith),257KB,false,KLS,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
KLS,234235984,2924-03060246-2A1655443,2026-02-23T23:49:21.000Z,"Investor Presentation 1HFY26, Guidance",939KB,true,KLS,,"[""Company Presentation"", ""Half Yearly Report"", ""Asset Disposal""]","[{""symbolDisplay"": ""KLS""}]","[{""symbol"": ""KLS"", ""xid"": ""68502887"", ""ASXSecurityType"": 1, ""displayName"": ""KELSIAN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186678"", ""xidEntity"": 234235984}]","[""KLS"", """"]"
