ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
KM1,800050129,2924-03105802-6A1331688,2026-06-30T08:19:31.000Z,Notification of cessation of securities - KM1,12KB,false,KM1,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03105795-6A1331684,2026-06-30T08:16:36.000Z,Non-Executive Director Resignation,148KB,false,KM1,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03103321-6A1330775,2026-06-24T00:08:13.000Z,Phase II Drilling Confirms Down Dip Extensions at Marble Bar,534KB,true,KM1,,"[""Progress Report""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03097865-6A1328524,2026-06-05T07:06:16.000Z,Application for quotation of securities - KM1,14KB,false,KM1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03097246-6A1328317,2026-06-04T01:33:25.000Z,Application for quotation of securities - KM1,15KB,false,KM1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03086691-6A1324104,2026-05-05T01:59:08.000Z,Investor Presentation - RIU Sydney Resources Round-Up,4228KB,false,KM1,,"[""Company Presentation""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03080729-6A1321242,2026-04-20T22:54:39.000Z,Quarterly Activities / Appendix 5B Cash Flow Report,2541KB,true,KM1,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03079274-6A1320646,2026-04-15T22:18:58.000Z,Phase II Drilling Commences at Marble Bar,492KB,true,KM1,,"[""Progress Report""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03076123-6A1319503,2026-04-07T06:45:47.000Z,Change of Director's Interest Notice - G Sloan,211KB,false,KM1,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
KM1,800050129,2924-03076121-6A1319502,2026-04-07T06:44:52.000Z,Change of Director's Interest Notice - L Reinehr,213KB,false,KM1,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KM1""}]","[{""symbol"": ""KM1"", ""xid"": ""844904057"", ""ASXSecurityType"": 1, ""displayName"": ""KALI METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000305468"", ""xidEntity"": 800050129}]","[""KM1"", """"]"
