ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
KPG,409422025,2924-03104568-2A1679874,2026-06-26T07:09:43.000Z,Change of Director's Interest Notice,430KB,false,KPG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03102131-2A1678331,2026-06-19T08:08:16.000Z,Change of Director's Interest Notice,430KB,false,KPG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03101007-2A1677783,2026-06-16T23:23:04.000Z,Proposed Partnership Eurofast Update Not Proceeding,214KB,false,KPG,,"[""Progress Report""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03099846-2A1677236,2026-06-12T06:55:57.000Z,Change of Director's Interest Notice,443KB,false,KPG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03092971-2A1673419,2026-05-22T07:02:33.000Z,Change in substantial holding,1421KB,false,KPG,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03092970-2A1673418,2026-05-22T07:02:18.000Z,Change of Director's Interest Notice,443KB,false,KPG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03088449-2A1671318,2026-05-08T07:33:32.000Z,Change in substantial holding,1629KB,false,KPG,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03088448-2A1671317,2026-05-08T07:33:17.000Z,Change of Director's Interest Notice - BK,443KB,false,KPG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03088230-2A1671196,2026-05-08T01:10:05.000Z,Results of EGM,261KB,false,KPG,,"[""Results of Meeting""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03088008-2A1671098,2026-05-07T22:12:14.000Z,2026 EGM Presentation,122KB,false,KPG,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03076077-2A1664678,2026-04-07T06:15:57.000Z,Notice of Extraordinary General Meeting/Proxy Form,381KB,false,KPG,,"[""Notice of Extraordinary General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03075500-2A1664381,2026-04-02T05:54:30.000Z,Change of Director's Interest Notice - BK,443KB,false,KPG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
KPG,409422025,2924-03073633-2A1663185,2026-03-30T06:15:58.000Z,Change in substantial holding,1495KB,false,KPG,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""KPG""}]","[{""symbol"": ""KPG"", ""xid"": ""412343324"", ""ASXSecurityType"": 1, ""displayName"": ""KELLY PARTNERS GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KPG7"", ""xidEntity"": 409422025}]","[""KPG"", """"]"
