ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
KSL,235698698,2924-03097300-2A1675644,2026-06-04T03:20:51.000Z,Change of Director's Interest Notice - Vidovich,245KB,false,KSL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03097298-2A1675642,2026-06-04T03:17:46.000Z,Notification regarding unquoted securities - KSL,16KB,false,KSL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03097297-2A1675641,2026-06-04T03:16:26.000Z,Notification of cessation of securities - KSL,12KB,false,KSL,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03096357-2A1675128,2026-06-02T05:43:54.000Z,Change of Director's Interest Notice - I Vidovich,244KB,false,KSL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03096354-2A1675127,2026-06-02T05:40:34.000Z,Notification regarding unquoted securities - KSL,16KB,false,KSL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03094228-2A1674042,2026-05-27T03:12:14.000Z,Results of Meeting,113KB,false,KSL,,"[""Results of Meeting""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03093957-2A1673943,2026-05-26T21:31:07.000Z,2026 AGM MD & CEO's Address Presentation,754KB,false,KSL,,"[""Company Presentation"", ""Chair's Address - Other""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03093956-2A1673942,2026-05-26T21:30:52.000Z,AGM Chairman's Address and Managing Director & CEO's Address,142KB,false,KSL,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03092926-2A1673396,2026-05-22T06:15:17.000Z,Notification regarding unquoted securities - KSL,17KB,false,KSL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03087782-2A1670872,2026-05-07T02:14:41.000Z,Kina Lists Papua New Guinea's First Wholesale Corporate Bond,335KB,false,KSL,,"[""Progress Report""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03085606-2A1669530,2026-05-01T04:45:01.000Z,Close and anticipated listing date of Bond Issue in PNG,198KB,true,KSL,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03085379-2A1669378,2026-04-30T22:56:54.000Z,Kina makes changes to its Executive Leadership Team,222KB,false,KSL,,"[""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03082720-2A1668346,2026-04-27T03:09:50.000Z,Annual Report to shareholders,3861KB,false,KSL,,"[""Corporate Governance"", ""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03082713-2A1668344,2026-04-27T02:40:25.000Z,Corporate Governance Statement and Appendix 4G,1321KB,false,KSL,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03082711-2A1668342,2026-04-27T02:37:45.000Z,Notice of Annual General Meeting/Proxy Form,1893KB,false,KSL,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03079202-2A1666731,2026-04-15T07:43:53.000Z,Investor Presentation Notice,2379KB,false,KSL,,"[""Company Presentation""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
KSL,235698698,2924-03079071-2A1666642,2026-04-15T04:36:26.000Z,Change of Directors Interest Notice - I Vidovich,243KB,false,KSL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KSL""}]","[{""symbol"": ""KSL"", ""xid"": ""293544879"", ""ASXSecurityType"": 1, ""displayName"": ""KINA SECURITIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG000A143KS8"", ""xidEntity"": 235698698}]","[""KSL"", """"]"
