ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
KZR,373569570,2924-03100066-6A1329414,2026-06-14T22:57:04.000Z,High-Grade Drilling Results Confirm AGP Resource Continuity,1797KB,true,KZR,,"[""Progress Report""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03096480-6A1328032,2026-06-02T09:04:40.000Z,Notification regarding unquoted securities - KZR,18KB,false,KZR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03095481-6A1327657,2026-05-29T08:46:44.000Z,Exploration Target Defined - Clarification,1962KB,false,KZR,,"[""Progress Report""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03093160-6A1326729,2026-05-24T22:22:03.000Z,Exploration Target Defined Within Mineralised Trends,2107KB,true,KZR,,"[""Progress Report""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03091210-6A1325950,2026-05-18T07:54:16.000Z,Change in Substantial Holding,83KB,false,KZR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03086928-6A1324226,2026-05-05T22:14:46.000Z,Conference Presentation,3645KB,false,KZR,,"[""Company Presentation""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03084282-6A1322997,2026-04-29T22:24:05.000Z,BurnVoir Appointed as Financial Advisor to Advance Ashburton,241KB,true,KZR,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03080889-6A1321305,2026-04-21T02:34:20.000Z,Quarterly Activities Report,2909KB,true,KZR,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03080879-6A1321301,2026-04-21T02:11:00.000Z,Quarterly Cashflow Report,485KB,true,KZR,,"[""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
KZR,373569570,2924-03076724-6A1319686,2026-04-08T08:12:36.000Z,Appendix 3Y,383KB,false,KZR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""KZR""}]","[{""symbol"": ""KZR"", ""xid"": ""377938230"", ""ASXSecurityType"": 1, ""displayName"": ""KALAMAZOO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000KZR3"", ""xidEntity"": 373569570}]","[""KZR"", """"]"
