ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
L1M,764297836,2924-03104297-6A1331143,2026-06-26T00:15:42.000Z,Initial Director's Interest Notice,213KB,false,L1M,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03104294-6A1331142,2026-06-26T00:13:42.000Z,Final Director's Interest Notice,252KB,false,L1M,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03103269-6A1330754,2026-06-23T23:23:58.000Z,Troy Brice appointed Managing Director of Lightning Minerals,436KB,false,L1M,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03103001-6A1330612,2026-06-23T06:27:39.000Z,"Notice of General Meeting, Proxy Form & Access Letter",627KB,false,L1M,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03102406-6A1330366,2026-06-21T23:35:25.000Z,L1M ADVANCES SECOND GOLD EXPLORATION PROGRAM AT MT TURNER,728KB,false,L1M,,"[""Progress Report""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03101858-6A1330129,2026-06-18T23:40:03.000Z,Drummer Fault Soil Sampling Delivers Phase 2 Drill Targets,1124KB,false,L1M,,"[""Progress Report""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03098784-6A1328918,2026-06-10T00:16:11.000Z,Change in substantial holding,44KB,false,L1M,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03098771-6A1328914,2026-06-09T23:55:26.000Z,Section 708A (5) Notification,1212KB,false,L1M,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03098768-6A1328913,2026-06-09T23:52:06.000Z,Application for quotation of securities - L1M,17KB,false,L1M,,"[""Appendix 2A""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
L1M,764297836,2924-03098499-6A1328784,2026-06-09T07:39:54.000Z,Release of Securities from Voluntary Escrow,1224KB,false,L1M,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""L1M""}]","[{""symbol"": ""L1M"", ""xid"": ""764326224"", ""ASXSecurityType"": 1, ""displayName"": ""LIGHTNING MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000247256"", ""xidEntity"": 764297836}]","[""L1M"", """"]"
