ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
LEX,204229937,2924-03105246-6A1331511,2026-06-29T22:11:20.000Z,Mt Martin Scoping Study Commences,4452KB,true,LEX,,"[""Progress Report""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03105009-6A1331420,2026-06-29T04:42:32.000Z,Letter to Shareholders - Notice of General Meeting,263KB,false,LEX,,"[""Proxy Form"", ""Notice of Meeting - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03105008-6A1331419,2026-06-29T04:40:02.000Z,Notice of General Meeting/Proxy Form,290KB,false,LEX,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03103128-6A1330687,2026-06-23T22:24:13.000Z,Excellent Gold Recoveries at Burns High-Grade Deposit,3596KB,true,LEX,,"[""Progress Report""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03097132-6A1328286,2026-06-03T23:07:44.000Z,Change in substantial holding,114KB,false,LEX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03095982-6A1327825,2026-06-01T08:48:05.000Z,Ceasing to be a substantial holder,222KB,false,LEX,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03095822-6A1327785,2026-06-01T02:06:48.000Z,Section 708A(5)(e) Notice,100KB,false,LEX,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03095820-6A1327783,2026-06-01T02:02:23.000Z,Application for quotation of securities - LEX,15KB,false,LEX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03092766-6A1326546,2026-05-21T23:27:40.000Z,Proposed issue of securities - LEX,15KB,false,LEX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
LEX,204229937,2924-03092765-6A1326542,2026-05-21T23:27:30.000Z,$3.6 Million Placement for Evaluation of Mt Martin Deposit,1752KB,true,LEX,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""LEX""}]","[{""symbol"": ""LEX"", ""xid"": ""278016"", ""ASXSecurityType"": 1, ""displayName"": ""LEFROY EXPLORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""VGG5520W1023"", ""xidEntity"": 204229937}]","[""LEX"", """"]"
