ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
LFG,631691591,2924-03103386-3A695878,2026-06-24T02:09:13.000Z,Dividend/Distribution - LFG,13KB,false,LFG,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03103383-3A695876,2026-06-24T02:02:48.000Z,Estimated Final Distribution,179KB,true,LFG,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03095593-3A694365,2026-05-31T22:29:56.000Z,Dividend/Distribution - LFG,13KB,false,LFG,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03095591-3A694364,2026-05-31T22:29:46.000Z,Quarterly Distribution,179KB,true,LFG,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03079552-3A691486,2026-04-16T05:01:10.000Z,Notification regarding unquoted securities - LFG,15KB,false,LFG,,"[""Appendix 3G""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03079550-3A691485,2026-04-16T04:58:30.000Z,Notification regarding unquoted securities - LFG,22KB,false,LFG,,"[""Appendix 3G""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03079548-3A691484,2026-04-16T04:57:00.000Z,Notification of cessation of securities - LFG,56KB,false,LFG,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03059665-3A687740,2026-02-23T01:20:28.000Z,Liberty Financial Group Trust FY26 Half Year Interim Report,1299KB,false,LFG,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03059293-3A687634,2026-02-22T21:24:53.000Z,Dividend/Distribution - LFG,13KB,false,LFG,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
LFG,631691591,2924-03059247-3A687630,2026-02-22T21:15:28.000Z,Interim Quarterly Distribution,177KB,true,LFG,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""LFG""}]","[{""symbol"": ""LFG"", ""xid"": ""631711108"", ""ASXSecurityType"": 6, ""displayName"": ""LIBERTY FINANCIAL GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000121634"", ""xidEntity"": 631691591}]","[""LFG"", """"]"
