ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
LGP,569058676,2924-03100588-6A1329620,2026-06-15T23:28:24.000Z,Notice of ceasing to be a substantial holder,281KB,false,LGP,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03098228-6A1328702,2026-06-08T23:27:16.000Z,Final Directors Interest Notice x3,556KB,false,LGP,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03098226-6A1328701,2026-06-08T23:25:36.000Z,Change of Directors Interest Notice x2,582KB,false,LGP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03098224-6A1328699,2026-06-08T23:22:41.000Z,Initial Directors Interest Notice x3,659KB,false,LGP,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03096889-6A1328197,2026-06-03T06:33:53.000Z,Change in substantial holding from Tiga Trading Pty Ltd,99KB,false,LGP,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03095723-6A1327757,2026-05-31T23:32:27.000Z,Implementation of Merger between LGP and Cannatrek,225KB,true,LGP,,"[""Scheme of Arrangement"", ""Asset Acquisition"", ""Director Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03095708-6A1327754,2026-05-31T23:25:56.000Z,Application for quotation of securities - LGP,15KB,false,LGP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03095704-6A1327751,2026-05-31T23:24:06.000Z,Notification regarding unquoted securities - LGP,17KB,false,LGP,,"[""Appendix 3G""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03095694-6A1327750,2026-05-31T23:21:11.000Z,Application for quotation of securities - LGP,16KB,false,LGP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
LGP,569058676,2924-03095692-6A1327747,2026-05-31T23:19:51.000Z,Application for quotation of securities - LGP,15KB,false,LGP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LGP""}]","[{""symbol"": ""LGP"", ""xid"": ""575195428"", ""ASXSecurityType"": 1, ""displayName"": ""LITTLE GREEN PHARMA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000074924"", ""xidEntity"": 569058676}]","[""LGP"", """"]"
