ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
LIN,204259296,2924-03103105-6A1330677,2026-06-23T22:21:27.000Z,Lindian strengthens international sales in Singapore,147KB,false,LIN,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03103052-6A1330649,2026-06-23T08:09:55.000Z,Becoming a substantial holder,247KB,false,LIN,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03102234-6A1330308,2026-06-21T22:16:05.000Z,Kangankunde Advances Toward Q4 2026 First Production,4004KB,true,LIN,,"[""Progress Report""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03102121-6A1330236,2026-06-19T07:58:56.000Z,Cleansing Notice,149KB,false,LIN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03102119-6A1330235,2026-06-19T07:56:56.000Z,Application for quotation of securities - LIN,16KB,false,LIN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03102046-6A1330206,2026-06-19T06:26:25.000Z,Termination of sale and purchase agreement - Gerald Metals,315KB,true,LIN,,"[""Issued Capital - Other"", ""Asset Acquisition & Disposal - Other""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03098151-6A1328622,2026-06-08T22:41:41.000Z,Cancellation of former director performance rights,178KB,true,LIN,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03098146-6A1328621,2026-06-08T22:41:11.000Z,Notification of cessation of securities - LIN,12KB,false,LIN,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03096411-6A1328000,2026-06-02T07:01:44.000Z,Ceasing to be a substantial holder,173KB,false,LIN,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03095835-6A1327791,2026-06-01T02:35:53.000Z,Change of Director's Interest Notice - Komur,367KB,false,LIN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03095834-6A1327790,2026-06-01T02:35:43.000Z,Change of Director's Interest Notice - Lim,372KB,false,LIN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03095833-6A1327789,2026-06-01T02:35:13.000Z,Change of Director's Interest Notice - Martin,369KB,false,LIN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03095310-6A1327590,2026-05-29T05:45:18.000Z,Notification regarding unquoted securities - LIN,16KB,false,LIN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03093437-6A1326827,2026-05-25T06:51:22.000Z,Results of Meeting,271KB,false,LIN,,"[""Results of Meeting""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03090725-6A1325749,2026-05-17T22:10:16.000Z,Becoming a substantial holder,232KB,false,LIN,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03089786-6A1325358,2026-05-13T07:22:01.000Z,Ceasing to be a substantial holder,166KB,false,LIN,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03088524-6A1324851,2026-05-10T22:18:29.000Z,General Counsel & Company Secretary Appointment,199KB,false,LIN,,"[""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03087520-6A1324471,2026-05-06T22:24:35.000Z,Construction On Schedule With First Production Q4 2026,3920KB,true,LIN,,"[""Progress Report""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
LIN,204259296,2924-03087265-6A1324368,2026-05-06T03:14:27.000Z,Notice of Meeting - Addendum,298KB,false,LIN,,"[""Proxy Form"", ""Notice of Meeting - Other""]","[{""symbolDisplay"": ""LIN""}]","[{""symbol"": ""LIN"", ""xid"": ""282242"", ""ASXSecurityType"": 1, ""displayName"": ""LINDIAN RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIN6"", ""xidEntity"": 204259296, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""LIN"", """"]"
