ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
LIT,204126533,2924-03104994-6A1331414,2026-06-29T03:48:36.000Z,Application for quotation of securities - LIT,15KB,false,LIT,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03104993-6A1331413,2026-06-29T03:46:16.000Z,Issue of Shares,439KB,false,LIT,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03104991-6A1331412,2026-06-29T03:44:11.000Z,Notification of cessation of securities - LIT,12KB,false,LIT,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03103694-6A1330912,2026-06-24T22:44:27.000Z,Livium Targets Data Centre Battery Recycling Opportunity,1242KB,true,LIT,,"[""Progress Report""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03098175-6A1328681,2026-06-08T23:00:36.000Z,Executes New Battery Recycling Framework Agreement with CATL,736KB,true,LIT,,"[""Progress Report""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03090838-6A1325809,2026-05-17T22:41:51.000Z,MOU with Sumitomo Corporation for Black Mass Collaboration,849KB,false,LIT,,"[""Progress Report""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03088628-6A1324901,2026-05-10T22:57:49.000Z,Livium Completes Synergy BESS Recycling Project,515KB,false,LIT,,"[""Progress Report""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03088616-6A1324896,2026-05-10T22:55:24.000Z,Change of Registered Office Address,74KB,false,LIT,,"[""Details of Registered office address""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03084313-6A1323014,2026-04-29T22:31:00.000Z,Quarterly Activities Report March 2026,485KB,true,LIT,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03079414-6A1320700,2026-04-15T23:31:38.000Z,Sell & Parker Agreement Variation,104KB,true,LIT,,"[""Progress Report""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03076892-6A1319775,2026-04-08T22:54:12.000Z,Successful Next Stage Scaling REE Technology,111KB,false,LIT,,"[""Progress Report""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03073930-6A1318645,2026-03-30T22:34:29.000Z,CEO Letter to Shareholders,108KB,false,LIT,,"[""Progress Report"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03071865-6A1317772,2026-03-24T22:43:19.000Z,Corporate Presentation,7928KB,false,LIT,,"[""Company Presentation""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
LIT,204126533,2924-03061801-6A1313859,2026-02-25T22:48:48.000Z,Next Phase of Scalable Growth with New Recycling Hub,118KB,true,LIT,,"[""Progress Report""]","[{""symbolDisplay"": ""LIT""}]","[{""symbol"": ""LIT"", ""xid"": ""8800758"", ""ASXSecurityType"": 1, ""displayName"": ""LIVIUM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LIT3"", ""xidEntity"": 204126533}]","[""LIT"", """"]"
