ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
LML,204184653,2924-03104999-2A1680092,2026-06-29T04:10:16.000Z,Application for quotation of securities - LML,15KB,false,LML,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03103681-2A1679280,2026-06-24T22:33:07.000Z,Drilling has commenced at Lincoln's Minbrie Copper Project,879KB,true,LML,,"[""Progress Report""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03101863-2A1678196,2026-06-18T23:44:33.000Z,Application for quotation of securities - LML,15KB,false,LML,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03099594-2A1677113,2026-06-11T23:32:29.000Z,Gold Coast Investment Showcase Presentation,4563KB,false,LML,,"[""Company Presentation""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03098838-2A1676731,2026-06-10T03:12:02.000Z,Notice of Extraordinary General Meeting/Proxy Form,470KB,false,LML,,"[""Notice of Extraordinary General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03095951-2A1674955,2026-06-01T07:18:10.000Z,Change in substantial holding,207KB,false,LML,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03095386-2A1674641,2026-05-29T06:59:33.000Z,Section 708A Notice - Share Issue,703KB,false,LML,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03095048-2A1674464,2026-05-28T23:17:51.000Z,Application for quotation of securities - LML,15KB,false,LML,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03095037-2A1674458,2026-05-28T23:07:40.000Z,Application for quotation of securities - LML,15KB,false,LML,,"[""Appendix 2A""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
LML,204184653,2924-03093206-2A1673490,2026-05-24T22:51:53.000Z,Proposed issue of securities - LML,18KB,false,LML,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""LML""}]","[{""symbol"": ""LML"", ""xid"": ""6708658"", ""ASXSecurityType"": 1, ""displayName"": ""LINCOLN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LML2"", ""xidEntity"": 204184653}]","[""LML"", """"]"
