ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
LVE,235324046,2924-03096910-2A1675439,2026-06-03T07:07:38.000Z,Change of Company Address,128KB,false,LVE,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-03078778-2A1666505,2026-04-14T22:11:09.000Z,Quarterly Update and Appendix 4C,535KB,true,LVE,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-03068396-2A1660433,2026-03-15T21:11:33.000Z,Change in Substantial Holdings,207KB,false,LVE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-03068395-2A1660432,2026-03-15T21:11:23.000Z,Appendix 3Y - Michael Ye,267KB,false,LVE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-03057174-2A1653885,2026-02-16T21:26:33.000Z,Appendix 4D and Interim Financial Report,799KB,true,LVE,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-03047193-2A1648778,2026-01-19T02:39:16.000Z,Quarterly Update and Appendix 4C,558KB,true,LVE,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-03010323-2A1630254,2025-10-19T22:32:16.000Z,Quarterly Update and Appendix 4C,555KB,true,LVE,,"[""Commitments Test Entity - First Quarter Activity Report"", ""Commitments Test Entity - First Quarter Cashflow Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-03002218-2A1626052,2025-10-01T08:00:20.000Z,Results of Annual General Meeting,194KB,false,LVE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02993471-2A1621597,2025-09-15T01:53:17.000Z,Updated Change in Substantial Holding Notice,210KB,false,LVE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02993137-2A1621457,2025-09-14T22:18:16.000Z,Change in Substantial Holding,210KB,false,LVE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02993136-2A1621456,2025-09-14T22:18:11.000Z,Appendix 3Y - Michael Ye,268KB,false,LVE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02992700-2A1621267,2025-09-12T00:33:53.000Z,Appendix 3Y - Michael Ye,270KB,false,LVE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02987245-2A1618211,2025-08-31T22:15:44.000Z,Appendix 3Y - Michael Ye,268KB,false,LVE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02984054-2A1616574,2025-08-26T08:08:29.000Z,Return of Capital - LVE,13KB,false,LVE,,"[""Capital Reconstruction""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02983808-2A1616451,2025-08-26T01:54:12.000Z,Change in Substantial Holdings,207KB,false,LVE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02983515-2A1616283,2025-08-25T22:59:11.000Z,Notice of Annual General Meeting,494KB,false,LVE,,"[""Web Cast"", ""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02982854-2A1615900,2025-08-24T23:34:58.000Z,Proposed Return of Capital to Shareholders,211KB,true,LVE,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02980527-2A1614655,2025-08-19T22:14:32.000Z,Appendix 4G and Corporate Governance Statement,579KB,false,LVE,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02980436-2A1614641,2025-08-19T08:48:13.000Z,Appendix 4E and Annual Report,2709KB,true,LVE,,"[""Annual Report"", ""Top 20 shareholders"", ""Preliminary Final Report"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02975226-2A1611775,2025-08-05T01:06:10.000Z,AGM and Closing Date for Director Nominations,136KB,false,LVE,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02967863-2A1608681,2025-07-15T22:16:48.000Z,Quarterly Update and Appendix 4C,606KB,true,LVE,,"[""Commitments Test Entity - Fourth Quarter Activity Report"", ""Commitments Test Entity - Fourth Quarter Cashflow Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02938428-2A1592381,2025-04-22T22:19:06.000Z,Quarterly Update and Appendix 4C,546KB,true,LVE,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02923305-2A1583991,2025-03-11T01:00:12.000Z,Updated Change in Substantial Holding,184KB,false,LVE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02923072-2A1583874,2025-03-10T21:22:31.000Z,Ceasing to be a Substantial Holder,85KB,false,LVE,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02923060-2A1583873,2025-03-10T21:21:51.000Z,Change in Substantial Holding,184KB,false,LVE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02923058-2A1583872,2025-03-10T21:21:41.000Z,Appendix 3Y - Michael Ye,199KB,false,LVE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02921413-2A1582724,2025-03-05T04:40:35.000Z,Appendix 3Y - Michael Ye,200KB,false,LVE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02915486-2A1579491,2025-02-20T06:59:52.000Z,Appendix 4D and Interim Financial Report,787KB,true,LVE,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02902551-2A1573340,2025-01-12T22:43:19.000Z,Quarterly Update and Appendix 4C,458KB,true,LVE,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02891757-2A1567192,2024-12-06T06:28:38.000Z,Return of Capital - LVE,13KB,false,LVE,,"[""Capital Reconstruction""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02891642-2A1567119,2024-12-06T04:10:58.000Z,Results of General Meeting,170KB,false,LVE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02883099-2A1563115,2024-11-20T01:27:02.000Z,Appendix 3Y - Michael Ye,200KB,false,LVE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
LVE,235324046,2924-02881920-2A1562613,2024-11-18T01:32:44.000Z,Change of Share Registry Details,118KB,false,LVE,,"[""Details of Share Registry address""]","[{""symbolDisplay"": ""LVE""}]","[{""symbol"": ""LVE"", ""xid"": ""80536691"", ""ASXSecurityType"": 1, ""displayName"": ""LOVE GROUP GLOBAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000LVE8"", ""xidEntity"": 235324046}]","[""LVE"", """"]"
