ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MAG,404547275,2924-03102553-6A1330413,2026-06-22T06:20:51.000Z,Release of Securities from Voluntary Escrow,236KB,false,MAG,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03101390-6A1329934,2026-06-17T22:33:13.000Z,Phase 3 Drill Program Completed at Weebo Gold Project,1156KB,true,MAG,,"[""Progress Report""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03100204-6A1329466,2026-06-15T00:11:30.000Z,Change of Company Secretary and Registered Office,433KB,false,MAG,,"[""Details of Registered office address"", ""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03094978-6A1327452,2026-05-28T22:22:45.000Z,Phase 3 Drill Program commenced at Weebo Gold Project,842KB,true,MAG,,"[""Progress Report""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03092205-6A1326342,2026-05-20T22:17:35.000Z,Phase 3 Drill Program Commences at Weebo Gold Project,1078KB,true,MAG,,"[""Progress Report""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03086996-6A1324247,2026-05-05T22:24:11.000Z,Investor Presentation - RIU Sydney Resources Round-Up 2026,4426KB,false,MAG,,"[""Company Presentation""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03085930-6A1323800,2026-05-03T22:33:12.000Z,Exploration Results from Myall FJVA Copper-Gold Project,1975KB,true,MAG,,"[""Progress Report""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03085111-6A1323423,2026-04-30T06:54:33.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,2922KB,true,MAG,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03070297-6A1317207,2026-03-19T09:18:45.000Z,Retirement of Chief Financial Officer,195KB,false,MAG,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
MAG,404547275,2924-03067723-6A1316122,2026-03-12T09:04:42.000Z,Half Yearly Report and Accounts,1544KB,false,MAG,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""MAG""}]","[{""symbol"": ""MAG"", ""xid"": ""404503608"", ""ASXSecurityType"": 1, ""displayName"": ""MAGMATIC RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAG5"", ""xidEntity"": 404547275}]","[""MAG"", """"]"
