ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MAT,204142437,2924-03105439-6A1331572,2026-06-29T23:37:30.000Z,Board and Management Team Changes to Focus on Lake Carey,230KB,true,MAT,,"[""Director Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03104233-6A1331114,2026-06-25T23:24:47.000Z,New Significant Gold Trend Discovered AngloGold Drilling,2628KB,true,MAT,,"[""Progress Report""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03101437-6A1329963,2026-06-17T23:19:14.000Z,AngloGold Pays $1.65M Option Fee Lake Carey Gold Project,278KB,true,MAT,,"[""Progress Report""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03095080-6A1327499,2026-05-28T23:34:06.000Z,Devon Gold Mine Campaign 3 Processing Commences,438KB,true,MAT,,"[""Progress Report""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03095042-6A1327487,2026-05-28T23:12:15.000Z,Amendment to $17.5M Facility Agreement,158KB,false,MAT,,"[""Debt Facility""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03086684-6A1324099,2026-05-05T01:47:08.000Z,RIU Sydney Resources Roundup Presentation,10263KB,false,MAT,,"[""Company Presentation""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03085218-6A1323486,2026-04-30T08:20:34.000Z,31 March 2026 Quarterly Report,10795KB,true,MAT,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03081286-6A1321474,2026-04-22T00:38:28.000Z,Secondary Trading Notice,199KB,false,MAT,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03081284-6A1321473,2026-04-22T00:34:18.000Z,Application for quotation of securities - MAT,15KB,false,MAT,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03070840-6A1317410,2026-03-22T21:20:20.000Z,SecondaryTrading Notice,200KB,false,MAT,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03070839-6A1317408,2026-03-22T21:20:05.000Z,Application for quotation of securities - MAT,15KB,false,MAT,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03069421-6A1316827,2026-03-17T08:11:52.000Z,Response to Media Article,163KB,true,MAT,,"[""Trading Halt Lifted"", ""Company Administration - Other""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03069309-6A1316785,2026-03-17T04:33:00.000Z,Trading Halt,400KB,true,MAT,,"[""Trading Halt""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03069295-6A1316781,2026-03-17T04:00:50.000Z,Pause in Trading,113KB,true,MAT,,"[""Notice Pending""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
MAT,204142437,2924-03068945-6A1316655,2026-03-16T08:02:22.000Z,Half Year Accounts,7072KB,false,MAT,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""MAT""}]","[{""symbol"": ""MAT"", ""xid"": ""1650699"", ""ASXSecurityType"": 1, ""displayName"": ""MATSA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MAT8"", ""xidEntity"": 204142437}]","[""MAT"", """"]"
