ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MEU,204171930,2924-03094469-2A1674161,2026-05-27T22:23:11.000Z,Outstanding assays reveal rich gold zones at Greenewood,2249KB,true,MEU,,"[""Progress Report""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03089785-2A1671936,2026-05-13T07:18:01.000Z,Application for quotation of securities - MEU,15KB,false,MEU,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03084178-2A1668905,2026-04-29T22:10:35.000Z,Quarterly Activities and Cashflow Report,3471KB,true,MEU,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03080647-2A1667406,2026-04-20T22:17:03.000Z,Greenewood gold - Drilling has commenced,1625KB,true,MEU,,"[""Progress Report""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03078315-2A1666261,2026-04-13T22:14:51.000Z,Greenewood gold discovery targets massive extension,1180KB,true,MEU,,"[""Progress Report""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03071950-2A1662299,2026-03-25T00:53:40.000Z,Uranium Update - Target 4 program design completed,825KB,true,MEU,,"[""Progress Report""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03066760-2A1659489,2026-03-10T21:26:14.000Z,Half Year Financial Report Dec 2025,451KB,false,MEU,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03061453-2A1656092,2026-02-25T21:19:53.000Z,Bonanza gold/widths extend spectacular Greenewood discovery,2586KB,true,MEU,,"[""Progress Report""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03058580-2A1654583,2026-02-19T05:17:49.000Z,Change in substantial holding,2211KB,false,MEU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03057951-2A1654253,2026-02-18T03:46:25.000Z,Cleansing Notice,145KB,false,MEU,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03057945-2A1654249,2026-02-18T03:34:20.000Z,Application for quotation of securities - MEU,15KB,false,MEU,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03055661-2A1653168,2026-02-11T21:51:19.000Z,Proposed issue of securities - MEU,15KB,false,MEU,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
MEU,204171930,2924-03055660-2A1653167,2026-02-11T21:51:09.000Z,Marmota raises $15 million in highly successful placement,239KB,true,MEU,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""MEU""}]","[{""symbol"": ""MEU"", ""xid"": ""8881285"", ""ASXSecurityType"": 1, ""displayName"": ""MARMOTA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MEU8"", ""xidEntity"": 204171930}]","[""MEU"", """"]"
