ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MGR,204183331,2924-03101232-2A1677895,2026-06-17T07:22:37.000Z,Dividend/Distribution - MGR,20KB,true,MGR,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03096171-2A1675040,2026-06-01T23:22:21.000Z,Appendix 3X - Janelle Hopkins,252KB,false,MGR,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03093271-2A1673528,2026-05-24T23:29:34.000Z,Appointment of Non-Executive Director,71KB,false,MGR,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03085467-2A1669422,2026-04-30T23:50:30.000Z,Appendix 3Z - Christine Bartlett,11KB,false,MGR,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03081580-2A1667823,2026-04-22T22:23:17.000Z,MGR 3Q26 Operational Update,9243KB,true,MGR,,"[""Company Presentation"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03075724-2A1664503,2026-04-06T22:26:03.000Z,Change in substantial holding,1501KB,false,MGR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03071360-2A1661978,2026-03-23T22:01:50.000Z,Mirvac Board Renewal,227KB,false,MGR,,"[""Chair Appointment/Resignation"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03066557-2A1659362,2026-03-10T04:15:02.000Z,Appendix 3Y - Campbell Hanan,263KB,false,MGR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03065518-2A1658684,2026-03-06T03:36:19.000Z,Notification of cessation of securities - MGR,12KB,false,MGR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
MGR,204183331,2924-03065517-2A1658683,2026-03-06T03:33:04.000Z,Appendix 3Y - Rosemary Hartnett,259KB,false,MGR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MGR""}]","[{""symbol"": ""MGR"", ""xid"": ""200330"", ""ASXSecurityType"": 6, ""displayName"": ""MIRVAC GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000MGR9"", ""xidEntity"": 204183331, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Diversified REITs"", ""subIndustry"": ""Diversified REITs""}]","[""MGR"", """"]"
