ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MIO,204127004,2924-03105031-6A1331434,2026-06-29T05:27:07.000Z,Appendix 4G and Corporate Governance Statement,588KB,false,MIO,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03105029-6A1331431,2026-06-29T05:25:52.000Z,Annual Report to 31 March 2026,3077KB,false,MIO,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03101056-6A1329789,2026-06-17T00:06:59.000Z,Cleansing Notice,191KB,false,MIO,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03101055-6A1329788,2026-06-17T00:05:39.000Z,Application for quotation of securities - MIO,15KB,false,MIO,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03097106-6A1328279,2026-06-03T22:53:09.000Z,Macarthur Consents to Gold Valley Destec JV Arrangement,566KB,true,MIO,,"[""Progress Report""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03083833-6A1322716,2026-04-29T01:24:33.000Z,Quarterly Activities Report period ended 31 March 2026,493KB,true,MIO,,"[""Fourth Quarter Activities Report""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03083825-6A1322711,2026-04-29T01:09:27.000Z,Appendix 5B Quarter Ended 31 March 2026,218KB,true,MIO,,"[""Fourth Quarter Cash Flow Report""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03083823-6A1322710,2026-04-29T01:07:47.000Z,Form 604 Change in Substantial Holding (Copulos Group),80KB,false,MIO,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03080571-6A1321167,2026-04-20T08:10:18.000Z,Change of Auditor,320KB,false,MIO,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
MIO,204127004,2924-03079630-6A1320771,2026-04-16T07:12:41.000Z,Response to ASX Query Letter,623KB,true,MIO,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""MIO""}]","[{""symbol"": ""MIO"", ""xid"": ""565635231"", ""ASXSecurityType"": 1, ""displayName"": ""MACARTHUR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000062440"", ""xidEntity"": 204127004}]","[""MIO"", """"]"
